translation
"{'en': 'Conner!', 'es': '¡Conner!'}"
"{'en': 'Sir?\n', 'es': '¿Señor?'}"
"{'en': 'Hello!', 'es': 'Hey!'}"
"{'en': 'Hey!\n', 'es': 'Hey!'}"
"{'en': 'Good!', 'es': 'Bueno!'}"
"{'en': 'Good!\n', 'es': 'Bueno!'}"
"{'en': 'Oh, my God.', 'es': 'Vaya.'}"
"{'en': 'Wow.\n', 'es': 'Vaya.'}"
"{'en': 'Well.', 'es': 'Bueno.'}"
"{'en': 'Well.\n', 'es': 'Bueno.'}"
"{'en': 'Thank you.', 'es': 'Gracias.'}"
"{'en': 'Merci.\n', 'es': 'Gracias.'}"
"{'en': 'All right.', 'es': 'Bien.'}"
"{'en': 'Ok.\n', 'es': 'Bien.'}"
"{'en': 'Jamie!', 'es': '¡Jamie!'}"
"{'en': 'Jamie!\n', 'es': '¡Jamie!'}"
"{'en': 'Jordan?', 'es': '¿Jordan?'}"
"{'en': 'Jordan?\n', 'es': '¿Jordan?'}"
"{'en': 'Bingo.', 'es': 'Bingo.'}"
"{'en': 'Bingo.\n', 'es': 'Bingo.'}"
"{'en': 'Nothing.', 'es': 'Nada.'}"
"{'en': 'Nothing.\n', 'es': 'Nada.'}"
"{'en': ""That's right."", 'es': 'Es verdad.'}"
"{'en': 'True.\n', 'es': 'Es verdad.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hey.\n', 'es': 'Hola.'}"
"{'en': 'Come on!', 'es': '¡Vete!'}"
"{'en': 'Go!\n', 'es': '¡Vete!'}"
"{'en': 'Boy!', 'es': 'mozo!'}"
"{'en': 'Waiter!\n', 'es': 'mozo!'}"
"{'en': 'Hello.', 'es': '- Hola.'}"
"{'en': 'Hello.\n', 'es': '- Hola.'}"
"{'en': '- I thought they were gonna...', 'es': '- Pensé que iban a...'}"
"{'en': '- I thought they was gonna--\n', 'es': '- Pensé que iban a...'}"
"{'en': 'Gus.', 'es': 'Gus.'}"
"{'en': 'Gus.\n', 'es': 'Gus.'}"
"{'en': ""It's Chen!"", 'es': 'Chen!'}"
"{'en': 'Chen!\n', 'es': 'Chen!'}"
"{'en': 'Well...', 'es': 'Bueno...'}"
"{'en': 'Well...\n', 'es': 'Bueno...'}"
"{'en': ""Oh... that's not true."", 'es': 'Oh...'}"
"{'en': 'Oh...\n', 'es': 'Oh...'}"
"{'en': 'Hello.', 'es': '- Hola.'}"
"{'en': 'Hi.\n', 'es': '- Hola.'}"
"{'en': 'Please.', 'es': 'Por favor.'}"
"{'en': 'Please.\n', 'es': 'Por favor.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'Never.', 'es': 'Nunca.'}"
"{'en': 'Never.\n', 'es': 'Nunca.'}"
"{'en': 'Harvard...', 'es': 'Harvard...'}"
"{'en': 'Harvard...\n', 'es': 'Harvard...'}"
"{'en': 'Kasim!', 'es': '¡Kasim!'}"
"{'en': 'Kasim!\n', 'es': '¡Kasim!'}"
"{'en': 'Well...', 'es': 'Bueno...'}"
"{'en': 'Well...\n', 'es': 'Bueno...'}"
"{'en': 'Shit.', 'es': 'Mierda.'}"
"{'en': 'Shit.\n', 'es': 'Mierda.'}"
"{'en': ""It's okay..."", 'es': '- Sí, lo he dicho, pero...'}"
"{'en': 'Ill...\n', 'es': '- Sí, lo he dicho, pero...'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hi.\n', 'es': 'Hola.'}"
"{'en': 'Oh, my God!', 'es': 'Maldición.'}"
"{'en': 'Damn!\n', 'es': 'Maldición.'}"
"{'en': 'Yes?', 'es': '¿Eya?'}"
"{'en': 'Eya?\n', 'es': '¿Eya?'}"
"{'en': 'Shit.', 'es': 'Mierda.'}"
"{'en': 'Shit.\n', 'es': 'Mierda.'}"
"{'en': 'Everything.', 'es': 'Todo.'}"
"{'en': 'Everything.\n', 'es': 'Todo.'}"
"{'en': ""It's Kent."", 'es': 'Kent.'}"
"{'en': 'Kent.\n', 'es': 'Kent.'}"
"{'en': 'Mark.', 'es': 'Mari.'}"
"{'en': 'Mark.\n', 'es': 'Mari.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hello.\n', 'es': 'Hola.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Greece (+30)', 'es': 'Greece (+30)'}"
"{'en': 'Greece (+30)\n', 'es': 'Greece (+30)'}"
"{'en': 'Oh, right.', 'es': 'Oh.'}"
"{'en': 'Oh.\n', 'es': 'Oh.'}"
"{'en': 'Oh, my God!', 'es': 'Whoo!'}"
"{'en': 'Whoo!\n', 'es': 'Whoo!'}"
"{'en': 'Chloe!', 'es': '¡Cloé!'}"
"{'en': 'Chloe!\n', 'es': '¡Cloé!'}"
"{'en': 'Get down!', 'es': '¡Abajo!'}"
"{'en': 'Down!\n', 'es': '¡Abajo!'}"
"{'en': 'Really.', 'es': 'De verdad.'}"
"{'en': 'Really.\n', 'es': 'De verdad.'}"
"{'en': 'Get out of here!', 'es': '¡Y una mierda!'}"
"{'en': 'Bullshit!\n', 'es': '¡Y una mierda!'}"
"{'en': 'Fifteen?', 'es': '¿Quince?'}"
"{'en': 'Fifteen?\n', 'es': '¿Quince?'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Denied.', 'es': 'Rechazado.'}"
"{'en': 'Denied.\n', 'es': 'Rechazado.'}"
"{'en': 'Yeah, see...', 'es': 'Sí, ya veo...'}"
"{'en': 'Yeah, see--\n', 'es': 'Sí, ya veo...'}"
"{'en': 'All right!', 'es': '¡Bien!'}"
"{'en': 'Alright!\n', 'es': '¡Bien!'}"
"{'en': 'Goodbye!', 'es': '¡Hasta la vista!'}"
"{'en': 'Goodbye!\n', 'es': '¡Hasta la vista!'}"
"{'en': 'Great!', 'es': 'Increíble.'}"
"{'en': 'Awesome!\n', 'es': 'Increíble.'}"
"{'en': 'Just...', 'es': 'Sólo...'}"
"{'en': 'Just...\n', 'es': 'Sólo...'}"
"{'en': 'Better?', 'es': '¿Mejor?'}"
"{'en': 'Better?\n', 'es': '¿Mejor?'}"
"{'en': 'All right.', 'es': 'Vale.'}"
"{'en': 'OK.\n', 'es': 'Vale.'}"
"{'en': ""It's Jeff!"", 'es': '¡Jeff! ¿No era eso lo que querías?'}"
"{'en': 'Jeff!\n', 'es': '¡Jeff! ¿No era eso lo que querías?'}"
"{'en': 'Get out of here.', 'es': '- Liddy'}"
"{'en': 'Liddy.\n', 'es': '- Liddy'}"
"{'en': 'Here.', 'es': 'Mira.'}"
"{'en': 'Here.\n', 'es': 'Mira.'}"
"{'en': 'Googleplex!', 'es': 'Googleplex!'}"
"{'en': 'Googleplex!\n', 'es': 'Googleplex!'}"
"{'en': 'Goodbye.', 'es': '- Adiós.'}"
"{'en': 'Bye.\n', 'es': '- Adiós.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hello.\n', 'es': 'Hola.'}"
"{'en': 'I...', 'es': 'Yo...'}"
"{'en': 'I...\n', 'es': 'Yo...'}"
"{'en': 'Got it.', 'es': 'Enterado.'}"
"{'en': 'Copy.\n', 'es': 'Enterado.'}"
"{'en': 'No, not at all.', 'es': 'No.'}"
"{'en': 'Nope.\n', 'es': 'No.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': '- Beckett?', 'es': '-¿Beckett?'}"
"{'en': 'Beckett?\n', 'es': '-¿Beckett?'}"
"{'en': 'Well...', 'es': 'Bien...'}"
"{'en': 'WELL...\n', 'es': 'Bien...'}"
"{'en': 'Yes?', 'es': '¿Qué?'}"
"{'en': 'Yes?\n', 'es': '¿Qué?'}"
"{'en': 'You.', 'es': 'Tu.'}"
"{'en': 'You.\n', 'es': 'Tu.'}"
"{'en': 'Chavez.', 'es': 'Chavez.'}"
"{'en': 'Chavez.\n', 'es': 'Chavez.'}"
"{'en': 'Yes?', 'es': '¿Sí?'}"
"{'en': 'Yes?\n', 'es': '¿Sí?'}"
"{'en': 'Landing?', 'es': '- ¿Aterrizar?'}"
"{'en': 'Landing?\n', 'es': '- ¿Aterrizar?'}"
"{'en': 'Victoria.', 'es': 'Victoria.'}"
"{'en': 'Victoria.\n', 'es': 'Victoria.'}"
"{'en': ""I'm sorry..."", 'es': 'Perdón.'}"
"{'en': 'Sorry...\n', 'es': 'Perdón.'}"
"{'en': 'Please!', 'es': '¡Por favor!'}"
"{'en': 'Please!\n', 'es': '¡Por favor!'}"
"{'en': 'Louisa.', 'es': 'Louisa.'}"
"{'en': 'Louisa.\n', 'es': 'Louisa.'}"
"{'en': 'Drink?', 'es': '- ¿Un trago?'}"
"{'en': 'Drink?\n', 'es': '- ¿Un trago?'}"
"{'en': 'I went wrong.', 'es': '- Ya casi terminamos.'}"
"{'en': ""I'malmostdone.\n"", 'es': '- Ya casi terminamos.'}"
"{'en': ""I'm sorry."", 'es': 'Lo siento.'}"
"{'en': 'Sorry.\n', 'es': 'Lo siento.'}"
"{'en': 'Tai.', 'es': 'Tai.'}"
"{'en': 'Tai.\n', 'es': 'Tai.'}"
"{'en': 'Right now?', 'es': '¿Ahora?'}"
"{'en': 'Now?\n', 'es': '¿Ahora?'}"
"{'en': 'All right.', 'es': 'Está bien.'}"
"{'en': 'Okay.\n', 'es': 'Está bien.'}"
"{'en': 'points 4.1 and 4.2 are deleted;', 'es': 'se suprimen los puntos 4.1 y 4.2;'}"
"{'en': 'points 4.1 and 4.2 are deleted;\n', 'es': 'se suprimen los puntos 4.1 y 4.2;'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Stolen!', 'es': '¡Steed!'}"
"{'en': 'Steed!\n', 'es': '¡Steed!'}"
"{'en': 'Look!', 'es': '¡Mira!'}"
"{'en': 'Look!\n', 'es': '¡Mira!'}"
"{'en': 'Nothing.', 'es': 'Nada.'}"
"{'en': 'Nothing.\n', 'es': 'Nada.'}"
"{'en': 'Alaska.', 'es': 'Alaska.'}"
"{'en': 'Alaska.\n', 'es': 'Alaska.'}"
"{'en': 'Mom.', 'es': 'Mamá.'}"
"{'en': 'Mama.\n', 'es': 'Mamá.'}"
"{'en': 'Get down!', 'es': 'Abajo!'}"
"{'en': 'Down!\n', 'es': 'Abajo!'}"
"{'en': 'Maybe.', 'es': 'Quizá.'}"
"{'en': 'Maybe.\n', 'es': 'Quizá.'}"
"{'en': 'Hello!', 'es': '¡Oye!'}"
"{'en': 'Hey!\n', 'es': '¡Oye!'}"
"{'en': 'None.', 'es': 'Genial.'}"
"{'en': 'Neat.\n', 'es': 'Genial.'}"
"{'en': 'Guess.', 'es': 'Adivina qué.'}"
"{'en': 'Guess.\n', 'es': 'Adivina qué.'}"
"{'en': 'Stephanie.', 'es': 'Stephanie.'}"
"{'en': 'Stephanie.\n', 'es': 'Stephanie.'}"
"{'en': 'Walk!', 'es': '¡El paso!'}"
"{'en': 'March!\n', 'es': '¡El paso!'}"
"{'en': ""It's Tommy!"", 'es': '¡Tommy!'}"
"{'en': 'Tommy!\n', 'es': '¡Tommy!'}"
"{'en': 'Great.', 'es': 'Genial.'}"
"{'en': 'Great.\n', 'es': 'Genial.'}"
"{'en': 'All right.', 'es': '- Sí.'}"
"{'en': 'Okay.\n', 'es': '- Sí.'}"
"{'en': 'Jessie!', 'es': 'Jessie!'}"
"{'en': 'Jessie!\n', 'es': 'Jessie!'}"
"{'en': 'Tatiana.', 'es': 'Tatiana.'}"
"{'en': 'Tatiana.\n', 'es': 'Tatiana.'}"
"{'en': '""Because I think', 'es': '¿Y por qué?'}"
"{'en': '""Because I believe\n', 'es': '¿Y por qué?'}"
"{'en': 'Come on!', 'es': '¡Ya voy!'}"
"{'en': 'Coming!\n', 'es': '¡Ya voy!'}"
"{'en': 'Matru!', 'es': '¡Matru!'}"
"{'en': 'Matru!\n', 'es': '¡Matru!'}"
"{'en': 'Hello!', 'es': 'Hola !'}"
"{'en': 'Hello!\n', 'es': 'Hola !'}"
"{'en': 'Listen.', 'es': 'Escuche.'}"
"{'en': 'Listen.\n', 'es': 'Escuche.'}"
"{'en': 'A little one?', 'es': '¿Comadreja?'}"
"{'en': 'Weasel?\n', 'es': '¿Comadreja?'}"
"{'en': 'Beautiful.', 'es': 'Hermoso.'}"
"{'en': 'Beautiful.\n', 'es': 'Hermoso.'}"
"{'en': 'The IRIN?', 'es': '¿Irina?'}"
"{'en': 'IRINA?\n', 'es': '¿Irina?'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'Font size', 'es': 'Tamaño del tipo de letra@action boldify selected text'}"
"{'en': 'Font &Size\n', 'es': 'Tamaño del tipo de letra@action boldify selected text'}"
"{'en': 'Amen.', 'es': '- Amen.'}"
"{'en': 'Amen.\n', 'es': '- Amen.'}"
"{'en': 'Edie.', 'es': 'Eddie.'}"
"{'en': 'Edie.\n', 'es': 'Eddie.'}"
"{'en': 'Come on.', 'es': 'Toma.'}"
"{'en': 'Come.\n', 'es': 'Toma.'}"
"{'en': 'About what?', 'es': '¿Sobre qué?'}"
"{'en': 'About?\n', 'es': '¿Sobre qué?'}"
"{'en': 'I...', 'es': 'No...'}"
"{'en': 'I...\n', 'es': 'No...'}"
"{'en': 'All right.', 'es': 'Ok.'}"
"{'en': 'Okay.\n', 'es': 'Ok.'}"
"{'en': 'Yes.', 'es': 'Sí, señora.'}"
"{'en': ""Yes'm.\n"", 'es': 'Sí, señora.'}"
"{'en': 'Leo!', 'es': '¡Leo!'}"
"{'en': 'Leo!\n', 'es': '¡Leo!'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hi.\n', 'es': 'Hola.'}"
"{'en': ""I'm sorry."", 'es': 'Perdón.'}"
"{'en': 'Sorry.\n', 'es': 'Perdón.'}"
"{'en': 'Beautiful...', 'es': 'Helen.'}"
"{'en': 'Gorgeous...\n', 'es': 'Helen.'}"
"{'en': 'Sir...', 'es': 'Señor...'}"
"{'en': 'Mr...\n', 'es': 'Señor...'}"
"{'en': 'Hello!', 'es': '¡Oye!'}"
"{'en': 'Hey!\n', 'es': '¡Oye!'}"
"{'en': 'Enough!', 'es': '-¡Suficiente!'}"
"{'en': 'Enough!\n', 'es': '-¡Suficiente!'}"
"{'en': 'Survival.', 'es': 'Para sobrevivir.'}"
"{'en': 'Survival.\n', 'es': 'Para sobrevivir.'}"
"{'en': 'Friday.', 'es': 'El viernes.'}"
"{'en': 'Friday.\n', 'es': 'El viernes.'}"
"{'en': 'Of course.', 'es': 'Claro.'}"
"{'en': 'Sure.\n', 'es': 'Claro.'}"
"{'en': 'Great.', 'es': 'Genial.'}"
"{'en': 'Great.\n', 'es': 'Genial.'}"
"{'en': 'What?', 'es': 'Eh... ¿qué?'}"
"{'en': 'Huh?\n', 'es': 'Eh... ¿qué?'}"
"{'en': 'Nothing.', 'es': 'Nada.'}"
"{'en': 'Nothing.\n', 'es': 'Nada.'}"
"{'en': 'Santil.', 'es': 'Shantilal.'}"
"{'en': 'Shantilal.\n', 'es': 'Shantilal.'}"
"{'en': 'All right.', 'es': 'Okay.'}"
"{'en': 'Okay.\n', 'es': 'Okay.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Myrtle!', 'es': '¡Myrtle!'}"
"{'en': 'Myrtle!\n', 'es': '¡Myrtle!'}"
"{'en': 'Oh, my God.', 'es': 'Carajo.'}"
"{'en': 'Fuck.\n', 'es': 'Carajo.'}"
"{'en': 'But...', 'es': 'Pero...'}"
"{'en': 'But...\n', 'es': 'Pero...'}"
"{'en': 'I mean.', 'es': 'Al fin.'}"
"{'en': 'Finally.\n', 'es': 'Al fin.'}"
"{'en': 'Stop...', 'es': 'Para...'}"
"{'en': 'Stop...\n', 'es': 'Para...'}"
"{'en': 'Please check:', 'es': 'Revise:'}"
"{'en': 'Please check:\n', 'es': 'Revise:'}"
"{'en': 'Everybody!', 'es': '¡Todos!'}"
"{'en': 'Everyone!\n', 'es': '¡Todos!'}"
"{'en': 'Of course.', 'es': 'Claro.'}"
"{'en': 'Sure.\n', 'es': 'Claro.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'All right.', 'es': 'Vale.'}"
"{'en': 'Okay.\n', 'es': 'Vale.'}"
"{'en': 'Oh, my God.', 'es': '¡Dios!'}"
"{'en': 'Christ.\n', 'es': '¡Dios!'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'Oh, my God.', 'es': 'No'}"
"{'en': 'No.\n', 'es': 'No'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'Of course!', 'es': '¡Claro!'}"
"{'en': 'Sure!\n', 'es': '¡Claro!'}"
"{'en': 'Say, ""Ah.""', 'es': 'Di: ""Ah"".'}"
"{'en': 'Say,""Ah.""\n', 'es': 'Di: ""Ah"".'}"
"{'en': ""I'm sorry."", 'es': 'Lo siento.'}"
"{'en': 'Sorry.\n', 'es': 'Lo siento.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hi.\n', 'es': 'Hola.'}"
"{'en': 'Enough.', 'es': 'Suficiente.'}"
"{'en': 'Enough.\n', 'es': 'Suficiente.'}"
"{'en': 'Oh, my God.', 'es': 'No.'}"
"{'en': 'No.\n', 'es': 'No.'}"
"{'en': 'What?', 'es': '¿Qué?'}"
"{'en': 'What?\n', 'es': '¿Qué?'}"
"{'en': 'What?', 'es': '¿Por qué?'}"
"{'en': 'What?\n', 'es': '¿Por qué?'}"
"{'en': 'Well!', 'es': '¡Bien!'}"
"{'en': 'Well!\n', 'es': '¡Bien!'}"
"{'en': 'See?', 'es': '¿Lo ves?'}"
"{'en': 'See?\n', 'es': '¿Lo ves?'}"
"{'en': ""What's this?"", 'es': 'Mmm!'}"
"{'en': 'Mmm!\n', 'es': 'Mmm!'}"
"{'en': 'Emma?', 'es': '¿Emma?'}"
"{'en': 'Emma?\n', 'es': '¿Emma?'}"
"{'en': 'Thomas?', 'es': '- ¿Que protegería mi trabajo?'}"
"{'en': 'Thomas?\n', 'es': '- ¿Que protegería mi trabajo?'}"
"{'en': 'Enough.', 'es': 'Suficiente.'}"
"{'en': 'Enough.\n', 'es': 'Suficiente.'}"
"{'en': '1 January to 31 May', 'es': 'Del 1 de enero al 31 de mayo'}"
"{'en': '1 January to 31 May\n', 'es': 'Del 1 de enero al 31 de mayo'}"
"{'en': 'All right.', 'es': 'Está bien.'}"
"{'en': 'Okay.\n', 'es': 'Está bien.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'Hello.\n', 'es': 'Hola.'}"
"{'en': 'Yes!', 'es': '- Sí.'}"
"{'en': 'Yes!\n', 'es': '- Sí.'}"
"{'en': 'Alto.', 'es': '-Alto.'}"
"{'en': 'Alto.\n', 'es': '-Alto.'}"
"{'en': 'Right?', 'es': 'Vamos.'}"
"{'en': 'Right?\n', 'es': 'Vamos.'}"
"{'en': 'Oh, my God.', 'es': '¿De dónde ha...?'}"
"{'en': 'No.\n', 'es': '¿De dónde ha...?'}"
"{'en': 'Slowly.', 'es': 'Lentamente.'}"
"{'en': 'Slowly.\n', 'es': 'Lentamente.'}"
"{'en': 'All right.', 'es': 'Bien.'}"
"{'en': 'Okay.\n', 'es': 'Bien.'}"
"{'en': 'Barcelona, 1986', 'es': 'Barcelona, 1986'}"
"{'en': 'Barcelona, 1986\n', 'es': 'Barcelona, 1986'}"
"{'en': 'I get it.', 'es': 'Eres mía.'}"
"{'en': 'Gotcha.\n', 'es': 'Eres mía.'}"
"{'en': 'I...', 'es': 'Yo...'}"
"{'en': 'I...\n', 'es': 'Yo...'}"
"{'en': 'Yes!', 'es': '¡Así es!'}"
"{'en': 'Yes!\n', 'es': '¡Así es!'}"
"{'en': ""I'm sorry."", 'es': 'Perdona.'}"
"{'en': 'Sorry.\n', 'es': 'Perdona.'}"
"{'en': ""It's Merlin."", 'es': 'Merlín.'}"
"{'en': 'Merlin.\n', 'es': 'Merlín.'}"
"{'en': 'Yes?', 'es': '¿Sí?'}"
"{'en': 'Yes?\n', 'es': '¿Sí?'}"
"{'en': 'Of course.', 'es': 'Claro.'}"
"{'en': 'Sure.\n', 'es': 'Claro.'}"
"{'en': ""It's a report."", 'es': 'Informe.'}"
"{'en': 'Report.\n', 'es': 'Informe.'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hi.\n', 'es': '- Hola.'}"
"{'en': '- Yes.', 'es': '- H-O-R.'}"
"{'en': '- H-O-R.\n', 'es': '- H-O-R.'}"
"{'en': '- Never.', 'es': '- Nunca.'}"
"{'en': '- Never.\n', 'es': '- Nunca.'}"
"{'en': '- Dad?', 'es': '- Papá...'}"
"{'en': '- Daddy?\n', 'es': '- Papá...'}"
"{'en': ""- That's not true!"", 'es': '- No!'}"
"{'en': '- No!\n', 'es': '- No!'}"
"{'en': '- Hello!', 'es': '- ¡Buenos días!'}"
"{'en': '- Morning!\n', 'es': '- ¡Buenos días!'}"
"{'en': 'Poor birds!', 'es': '¡Pobres pajaritos!'}"
"{'en': 'poor birdies!\n', 'es': '¡Pobres pajaritos!'}"
"{'en': '- My mentor.', 'es': '- Es mi maestro.'}"
"{'en': '-My mentor.\n', 'es': '- Es mi maestro.'}"
"{'en': '- Kill the soul.', 'es': '- Como estar muriendo lentamente.'}"
"{'en': '- Soul-killing.\n', 'es': '- Como estar muriendo lentamente.'}"
"{'en': '- What?', 'es': '- ¿Eh?'}"
"{'en': '- Huh?\n', 'es': '- ¿Eh?'}"
"{'en': '- Water?', 'es': '- Sí.'}"
"{'en': '- Waft?\n', 'es': '- Sí.'}"
"{'en': '- Ouch!', 'es': '- ¡Ay!'}"
"{'en': '- Ow!\n', 'es': '- ¡Ay!'}"
"{'en': '- A section?', 'es': '- ¿Sección?'}"
"{'en': '- Section?\n', 'es': '- ¿Sección?'}"
"{'en': '- Objection!', 'es': '- ¡Protesto!'}"
"{'en': '- Objection!\n', 'es': '- ¡Protesto!'}"
"{'en': '""Good-bye, sister-in-law.', 'es': 'Adiós, cuñada.'}"
"{'en': '""Bye, sis-in-law.\n', 'es': 'Adiós, cuñada.'}"
"{'en': '- The cow.', 'es': '- De las vacas locas.'}"
"{'en': '-Mad cow.\n', 'es': '- De las vacas locas.'}"
"{'en': 'Two weeks.', 'es': '2 semanas'}"
"{'en': '2 weeks.\n', 'es': '2 semanas'}"
"{'en': '- Objection!', 'es': '- ¡Objeción!'}"
"{'en': '~ Objection!\n', 'es': '- ¡Objeción!'}"
"{'en': '- Fi!', 'es': '-¡Fi!'}"
"{'en': '- Fi!\n', 'es': '-¡Fi!'}"
"{'en': '- Glue?', 'es': '- ¿Pegamento?'}"
"{'en': '- Glue?\n', 'es': '- ¿Pegamento?'}"
"{'en': 'With no grudge?', 'es': 'Sin rencor?'}"
"{'en': 'without rancor?\n', 'es': 'Sin rencor?'}"
"{'en': '- Good.', 'es': '- Bien.'}"
"{'en': '- Good.\n', 'es': '- Bien.'}"
"{'en': ""It's a stupid courthouse."", 'es': 'Estúpido tribunal.'}"
"{'en': 'stupid court.\n', 'es': 'Estúpido tribunal.'}"
"{'en': '- Hello, honey.', 'es': '- Hola, cariño.'}"
"{'en': '-Hi, darling.\n', 'es': '- Hola, cariño.'}"
"{'en': '3 years.', 'es': '3 años.'}"
"{'en': '3 years.\n', 'es': '3 años.'}"
"{'en': '- Flowers?', 'es': '- ¿Flores?'}"
"{'en': '- Flowers?\n', 'es': '- ¿Flores?'}"
"{'en': '- Friends.', 'es': '- Amigos.'}"
"{'en': '- Friends.\n', 'es': '- Amigos.'}"
"{'en': ""- It's..."", 'es': '- Yo...'}"
"{'en': '- L...\n', 'es': '- Yo...'}"
"{'en': '50 baht.', 'es': 'Sesenta baht.'}"
"{'en': '50 baht.\n', 'es': 'Sesenta baht.'}"
"{'en': ""- It's okay."", 'es': '- El cheque.'}"
"{'en': '- Check.\n', 'es': '- El cheque.'}"
"{'en': '- What?', 'es': '- ¿Eh?'}"
"{'en': '- Huh?\n', 'es': '- ¿Eh?'}"
"{'en': '""Heli mail""?', 'es': '""Correo Heli""?'}"
"{'en': '""Heli mail""?\n', 'es': '""Correo Heli""?'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hi.\n', 'es': '- Hola.'}"
"{'en': '- What?', 'es': '- ¿Eh?'}"
"{'en': '- Huh?\n', 'es': '- ¿Eh?'}"
"{'en': ""- That's not true!"", 'es': '- ¡No!'}"
"{'en': '- No!\n', 'es': '- ¡No!'}"
"{'en': '- Good.', 'es': '- Bien.'}"
"{'en': '- Good.\n', 'es': '- Bien.'}"
"{'en': '22%. 14%.', 'es': 'Al 22%/%. Al 1 4%/%.'}"
"{'en': '22%. 14%.\n', 'es': 'Al 22%/%. Al 1 4%/%.'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hi.\n', 'es': '- Hola.'}"
"{'en': '""PIP PWIP""?', 'es': '¿PPG PIP?'}"
"{'en': '""PWIP PIP""?\n', 'es': '¿PPG PIP?'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hi.\n', 'es': '- Hola.'}"
"{'en': 'Ophthalmic instruments and apparatus', 'es': 'Los demás instrumentos y aparatos de oftalmología'}"
"{'en': 'Ophthalmic instruments and appliances\n', 'es': 'Los demás instrumentos y aparatos de oftalmología'}"
"{'en': 'Peace and security', 'es': 'Paz y seguridad'}"
"{'en': 'Peace and security\n', 'es': 'Paz y seguridad'}"
"{'en': 'Diversity of products', 'es': 'Diversidad de productos'}"
"{'en': 'Diversity of products\n', 'es': 'Diversidad de productos'}"
"{'en': 'Contemporary art History and artistic movements', 'es': 'Historia del arte contemporáneo y movimientos artísticos'}"
"{'en': 'Contemporary Art History and artistic movements\n', 'es': 'Historia del arte contemporáneo y movimientos artísticos'}"
"{'en': 'Specialized technical assistance', 'es': 'Asesoramiento técnico especializado'}"
"{'en': 'Specialised technical assistance\n', 'es': 'Asesoramiento técnico especializado'}"
"{'en': 'Emergency Fuel Reduction Procedure (ERF)', 'es': 'Procedimiento para el combustible para contingencias reducido (RCF)'}"
"{'en': 'Reduced Contingency Fuel (RCF) Procedure\n', 'es': 'Procedimiento para el combustible para contingencias reducido (RCF)'}"
"{'en': 'Donor Action Group', 'es': 'Grupo de esfuerzo donante'}"
"{'en': 'Donor effort group\n', 'es': 'Grupo de esfuerzo donante'}"
"{'en': 'Quality and materials', 'es': 'Calidad y materiales'}"
"{'en': 'Quality and Materials\n', 'es': 'Calidad y materiales'}"
"{'en': 'SWEDEN AND TURCO v COUNCIL', 'es': 'SUECIA Y TURCO / CONSEJO'}"
"{'en': 'SWEDEN AND TURCO v COUNCIL\n', 'es': 'SUECIA Y TURCO / CONSEJO'}"
"{'en': 'Election of officers', 'es': 'Elección de la Mesa'}"
"{'en': 'Election of officers\n', 'es': 'Elección de la Mesa'}"
"{'en': 'Sustainable development in the fisheries sector', 'es': 'Desarrollo sostenible de la pesca'}"
"{'en': 'Sustainable development in fisheries\n', 'es': 'Desarrollo sostenible de la pesca'}"
