translation
"{'en': 'APPLICATION FOR APPROVAL', 'ro': 'CEREREA DE OMOLOGARE'}"
"{'en': '- Tonda?\n', 'ro': '- Tonda?'}"
"{'en': '- Tonda?\n', 'ro': '- Tonda?'}"
"{'en': '- Herta.', 'ro': '- Herta.'}"
"{'en': '- Herta.\n', 'ro': '- Herta.'}"
"{'en': '- Herta.\n', 'ro': '- Herta.'}"
"{'en': '- Never.', 'ro': 'Vecii-vecilor!'}"
"{'en': '- Ever.\n', 'ro': 'Vecii-vecilor!'}"
"{'en': '- Ever.\n', 'ro': 'Vecii-vecilor!'}"
"{'en': ""- It's noted."", 'ro': '- Notat.'}"
"{'en': '- Noted.\n', 'ro': '- Notat.'}"
"{'en': '- Noted.\n', 'ro': '- Notat.'}"
"{'en': '- Helena!', 'ro': '-Helena!'}"
"{'en': '- Helena!\n', 'ro': '-Helena!'}"
"{'en': '- Helena!\n', 'ro': '-Helena!'}"
"{'en': 'You son of a bitch!', 'ro': '""Dobitocule!'}"
"{'en': '""You fucker!\n', 'ro': '""Dobitocule!'}"
"{'en': '""You fucker!\n', 'ro': '""Dobitocule!'}"
"{'en': '- Right now?', 'ro': '- Acum?'}"
"{'en': '- Now?\n', 'ro': '- Acum?'}"
"{'en': '- Now?\n', 'ro': '- Acum?'}"
"{'en': '- No, not at all.', 'ro': '-Nu, nu.'}"
"{'en': '-No, no.\n', 'ro': '-Nu, nu.'}"
"{'en': '-No, no.\n', 'ro': '-Nu, nu.'}"
"{'en': '- All right.', 'ro': 'Bine.'}"
"{'en': '- Okay.\n', 'ro': 'Bine.'}"
"{'en': '- Okay.\n', 'ro': 'Bine.'}"
"{'en': '- Great!', 'ro': '- Dulce!'}"
"{'en': '- Sweet!\n', 'ro': '- Dulce!'}"
"{'en': '- Sweet!\n', 'ro': '- Dulce!'}"
"{'en': '- Unbelievable!', 'ro': '- De necrezut!'}"
"{'en': '- Unbelievable!\n', 'ro': '- De necrezut!'}"
"{'en': '- Unbelievable!\n', 'ro': '- De necrezut!'}"
"{'en': '- Bingo.', 'ro': '- Bingo.'}"
"{'en': '- Bingo.\n', 'ro': '- Bingo.'}"
"{'en': '- Bingo.\n', 'ro': '- Bingo.'}"
"{'en': '- Well...', 'ro': 'Păi...'}"
"{'en': '- Well...\n', 'ro': 'Păi...'}"
"{'en': '- Well...\n', 'ro': 'Păi...'}"
"{'en': '- Who?', 'ro': '- Cine ?'}"
"{'en': '- Who?\n', 'ro': '- Cine ?'}"
"{'en': '- Who?\n', 'ro': '- Cine ?'}"
"{'en': '- Hello?', 'ro': '- Alo?'}"
"{'en': '- Hello?\n', 'ro': '- Alo?'}"
"{'en': '- Hello?\n', 'ro': '- Alo?'}"
"{'en': '- Of course.', 'ro': '- Sigur.'}"
"{'en': '–Sure.\n', 'ro': '- Sigur.'}"
"{'en': '–Sure.\n', 'ro': '- Sigur.'}"
"{'en': ""- That's nice!"", 'ro': '- Mulţumim!'}"
"{'en': '- Thanks!\n', 'ro': '- Mulţumim!'}"
"{'en': '- Thanks!\n', 'ro': '- Mulţumim!'}"
"{'en': '- Wait.', 'ro': '- Asteapta.'}"
"{'en': '- Wait.\n', 'ro': '- Asteapta.'}"
"{'en': '- Wait.\n', 'ro': '- Asteapta.'}"
"{'en': '- Hello.', 'ro': '- Bună.'}"
"{'en': '- Hello.\n', 'ro': '- Bună.'}"
"{'en': '- Hello.\n', 'ro': '- Bună.'}"
"{'en': '- Cheers.', 'ro': '- Noroc.'}"
"{'en': '- Cheers.\n', 'ro': '- Noroc.'}"
"{'en': '- Cheers.\n', 'ro': '- Noroc.'}"
"{'en': '- No, Matt.', 'ro': '-Nu, Matt.'}"
"{'en': '-No, Matt.\n', 'ro': '-Nu, Matt.'}"
"{'en': '-No, Matt.\n', 'ro': '-Nu, Matt.'}"
"{'en': '- Hello.', 'ro': '- Bună!'}"
"{'en': '- Hey.\n', 'ro': '- Bună!'}"
"{'en': '- Hey.\n', 'ro': '- Bună!'}"
"{'en': '- Yes?', 'ro': '- Da ?'}"
"{'en': '- Yeah?\n', 'ro': '- Da ?'}"
"{'en': '- Yeah?\n', 'ro': '- Da ?'}"
"{'en': '- Oh, my God.', 'ro': '- Iisuse.'}"
"{'en': '- Jesus.\n', 'ro': '- Iisuse.'}"
"{'en': '- Jesus.\n', 'ro': '- Iisuse.'}"
"{'en': '- Welcome.', 'ro': '- Bine-aţi venit.'}"
"{'en': '- Welcome.\n', 'ro': '- Bine-aţi venit.'}"
"{'en': '- Welcome.\n', 'ro': '- Bine-aţi venit.'}"
"{'en': 'Martha Sterling and Paul Fleming.', 'ro': 'Martha Sterling şi Paul Fleming.'}"
"{'en': 'Martha Sterling and Paul Fleming.\n', 'ro': 'Martha Sterling şi Paul Fleming.'}"
"{'en': 'Martha Sterling and Paul Fleming.\n', 'ro': 'Martha Sterling şi Paul Fleming.'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 4'}"
"{'en': 'Article 4\n', 'ro': 'Articolul 4'}"
"{'en': 'Article 4\n', 'ro': 'Articolul 4'}"
"{'en': 'Table 10', 'ro': 'Tabelul 10'}"
"{'en': 'Table 10\n', 'ro': 'Tabelul 10'}"
"{'en': 'Table 10\n', 'ro': 'Tabelul 10'}"
"{'en': 'This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.', 'ro': 'Articolul 62'}"
"{'en': 'Article 62\n', 'ro': 'Articolul 62'}"
"{'en': 'Article 62\n', 'ro': 'Articolul 62'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 1'}"
"{'en': 'Article 1\n', 'ro': 'Articolul 1'}"
"{'en': 'Article 1\n', 'ro': 'Articolul 1'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 11'}"
"{'en': 'Article 11\n', 'ro': 'Articolul 11'}"
"{'en': 'Article 11\n', 'ro': 'Articolul 11'}"
"{'en': ""What's this?"", 'ro': 'Rayna:'}"
"{'en': 'Rayna:\n', 'ro': 'Rayna:'}"
"{'en': 'Rayna:\n', 'ro': 'Rayna:'}"
"{'en': 'This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.', 'ro': 'Articolul 18'}"
"{'en': 'Article 18\n', 'ro': 'Articolul 18'}"
"{'en': 'Article 18\n', 'ro': 'Articolul 18'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 6'}"
"{'en': 'Article 6\n', 'ro': 'Articolul 6'}"
"{'en': 'Article 6\n', 'ro': 'Articolul 6'}"
"{'en': 'Man:', 'ro': 'Omul:'}"
"{'en': 'Man:\n', 'ro': 'Omul:'}"
"{'en': 'Man:\n', 'ro': 'Omul:'}"
"{'en': ""That's right, Lisa."", 'ro': 'Lisa:'}"
"{'en': 'Lisa:\n', 'ro': 'Lisa:'}"
"{'en': 'Lisa:\n', 'ro': 'Lisa:'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 11'}"
"{'en': 'Article 11\n', 'ro': 'Articolul 11'}"
"{'en': 'Article 11\n', 'ro': 'Articolul 11'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 50'}"
"{'en': 'Article 50\n', 'ro': 'Articolul 50'}"
"{'en': 'Article 50\n', 'ro': 'Articolul 50'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 14'}"
"{'en': 'Article 14\n', 'ro': 'Articolul 14'}"
"{'en': 'Article 14\n', 'ro': 'Articolul 14'}"
"{'en': 'Excipients:', 'ro': 'Excipienţi:'}"
"{'en': 'Excipents:\n', 'ro': 'Excipienţi:'}"
"{'en': 'Excipents:\n', 'ro': 'Excipienţi:'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 1'}"
"{'en': 'Article 1\n', 'ro': 'Articolul 1'}"
"{'en': 'Article 1\n', 'ro': 'Articolul 1'}"
"{'en': 'Ms. Anya Christina Emmanuella Jenkins Harris', 'ro': 'Anya Christina Emmanuella Jenkins Harris'}"
"{'en': '# Mrs Anya Christina Emmanuella Jenkins Harris\n', 'ro': 'Anya Christina Emmanuella Jenkins Harris'}"
"{'en': '# Mrs Anya Christina Emmanuella Jenkins Harris\n', 'ro': 'Anya Christina Emmanuella Jenkins Harris'}"
"{'en': 'The stars:', 'ro': 'Stele:'}"
"{'en': 'Stars:\n', 'ro': 'Stele:'}"
"{'en': 'Stars:\n', 'ro': 'Stele:'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 4'}"
"{'en': 'Article 4\n', 'ro': 'Articolul 4'}"
"{'en': 'Article 4\n', 'ro': 'Articolul 4'}"
"{'en': 'This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.', 'ro': 'Articolul 43'}"
"{'en': 'Article 43\n', 'ro': 'Articolul 43'}"
"{'en': 'Article 43\n', 'ro': 'Articolul 43'}"
"{'en': 'Table 5', 'ro': 'Tabelul 5'}"
"{'en': 'Table 5\n', 'ro': 'Tabelul 5'}"
"{'en': 'Table 5\n', 'ro': 'Tabelul 5'}"
"{'en': '♪ Get closer ♪', 'ro': 'Mă apropii'}"
"{'en': '♪ Getting closer ♪\n', 'ro': 'Mă apropii'}"
"{'en': '♪ Getting closer ♪\n', 'ro': 'Mă apropii'}"
"{'en': 'This Regulation shall be binding in its entirety and directly applicable in all Member States.', 'ro': 'Articolul 2'}"
"{'en': 'Article 2\n', 'ro': 'Articolul 2'}"
"{'en': 'Article 2\n', 'ro': 'Articolul 2'}"
"{'en': 'Table 1', 'ro': 'Tabelul 1'}"
"{'en': 'Table 1\n', 'ro': 'Tabelul 1'}"
"{'en': 'Table 1\n', 'ro': 'Tabelul 1'}"
"{'en': ""It's Derrick!"", 'ro': 'Derrick!'}"
"{'en': 'Derrick!\n', 'ro': 'Derrick!'}"
"{'en': 'Derrick!\n', 'ro': 'Derrick!'}"
"{'en': 'You.', 'ro': '- Da. Pe tine.'}"
"{'en': 'You.\n', 'ro': '- Da. Pe tine.'}"
"{'en': 'You.\n', 'ro': '- Da. Pe tine.'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Good.', 'ro': 'Bine'}"
"{'en': 'Good.\n', 'ro': 'Bine'}"
"{'en': 'Good.\n', 'ro': 'Bine'}"
"{'en': 'Work.', 'ro': 'Funcţionează.'}"
"{'en': 'Work.\n', 'ro': 'Funcţionează.'}"
"{'en': 'Work.\n', 'ro': 'Funcţionează.'}"
"{'en': 'Well done.', 'ro': 'Bravo băieţi.'}"
"{'en': 'Attaboy.\n', 'ro': 'Bravo băieţi.'}"
"{'en': 'Attaboy.\n', 'ro': 'Bravo băieţi.'}"
"{'en': 'Go back.', 'ro': 'Intoarce.'}"
"{'en': 'Return.\n', 'ro': 'Intoarce.'}"
"{'en': 'Return.\n', 'ro': 'Intoarce.'}"
"{'en': 'Lydia.', 'ro': 'Lydia.'}"
"{'en': 'Lydia.\n', 'ro': 'Lydia.'}"
"{'en': 'Lydia.\n', 'ro': 'Lydia.'}"
"{'en': 'You see.', 'ro': 'Vedea.'}"
"{'en': 'See.\n', 'ro': 'Vedea.'}"
"{'en': 'See.\n', 'ro': 'Vedea.'}"
"{'en': 'Where?', 'ro': 'Unde ?'}"
"{'en': 'Where?\n', 'ro': 'Unde ?'}"
"{'en': 'Where?\n', 'ro': 'Unde ?'}"
"{'en': 'Come on!', 'ro': 'Porneste!'}"
"{'en': 'Go!\n', 'ro': 'Porneste!'}"
"{'en': 'Go!\n', 'ro': 'Porneste!'}"
"{'en': 'Hello.', 'ro': 'Salut'}"
"{'en': 'Hello.\n', 'ro': 'Salut'}"
"{'en': 'Hello.\n', 'ro': 'Salut'}"
"{'en': ""I'm sorry."", 'ro': '-Da... Scuze.'}"
"{'en': 'Sorry.\n', 'ro': '-Da... Scuze.'}"
"{'en': 'Sorry.\n', 'ro': '-Da... Scuze.'}"
"{'en': ""Tucker, what's this?"", 'ro': 'Tucker.'}"
"{'en': 'Tucker.\n', 'ro': 'Tucker.'}"
"{'en': 'Tucker.\n', 'ro': 'Tucker.'}"
"{'en': 'Certainly.', 'ro': 'Desigur.'}"
"{'en': 'Certainly.\n', 'ro': 'Desigur.'}"
"{'en': 'Certainly.\n', 'ro': 'Desigur.'}"
"{'en': 'Stupid.', 'ro': 'Stupid.'}"
"{'en': 'Stupid.\n', 'ro': 'Stupid.'}"
"{'en': 'Stupid.\n', 'ro': 'Stupid.'}"
"{'en': 'You okay?', 'ro': 'Bine?'}"
"{'en': 'Okay?\n', 'ro': 'Bine?'}"
"{'en': 'Okay?\n', 'ro': 'Bine?'}"
"{'en': 'SAMPLING (3)', 'ro': '2009 (2) 2008 (3)'}"
"{'en': 'FLANGED (3)\n', 'ro': '2009 (2) 2008 (3)'}"
"{'en': 'FLANGED (3)\n', 'ro': '2009 (2) 2008 (3)'}"
"{'en': 'Yes?', 'ro': 'Da?'}"
"{'en': 'Yeah?\n', 'ro': 'Da?'}"
"{'en': 'Yeah?\n', 'ro': 'Da?'}"
"{'en': 'What do you mean?', 'ro': 'Cum e posibil?'}"
"{'en': 'How?\n', 'ro': 'Cum e posibil?'}"
"{'en': 'How?\n', 'ro': 'Cum e posibil?'}"
"{'en': 'Wait.', 'ro': 'Aşteaptă.'}"
"{'en': 'Wait.\n', 'ro': 'Aşteaptă.'}"
"{'en': 'Wait.\n', 'ro': 'Aşteaptă.'}"
"{'en': ""What's the matter?"", 'ro': 'La naiba !'}"
"{'en': 'Fuck!\n', 'ro': 'La naiba !'}"
"{'en': 'Fuck!\n', 'ro': 'La naiba !'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Aaah!', 'ro': 'Aaah !'}"
"{'en': 'Aaah!\n', 'ro': 'Aaah !'}"
"{'en': 'Aaah!\n', 'ro': 'Aaah !'}"
"{'en': 'Run!', 'ro': 'Fugi!'}"
"{'en': 'Run!\n', 'ro': 'Fugi!'}"
"{'en': 'Run!\n', 'ro': 'Fugi!'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': ""It's unpredictable."", 'ro': 'Dar imprevizibil.'}"
"{'en': 'Unpredictable.\n', 'ro': 'Dar imprevizibil.'}"
"{'en': 'Unpredictable.\n', 'ro': 'Dar imprevizibil.'}"
"{'en': 'Inside.', 'ro': 'Înăuntru!'}"
"{'en': 'Inside.\n', 'ro': 'Înăuntru!'}"
"{'en': 'Inside.\n', 'ro': 'Înăuntru!'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': ""Oh... that's not true."", 'ro': 'O..'}"
"{'en': 'Oh...\n', 'ro': 'O..'}"
"{'en': 'Oh...\n', 'ro': 'O..'}"
"{'en': 'Blackjack.', 'ro': 'Blackjack!'}"
"{'en': 'Blackjack.\n', 'ro': 'Blackjack!'}"
"{'en': 'Blackjack.\n', 'ro': 'Blackjack!'}"
"{'en': 'Well...', 'ro': 'Well...'}"
"{'en': 'Well...\n', 'ro': 'Well...'}"
"{'en': 'Well...\n', 'ro': 'Well...'}"
"{'en': 'Talk.', 'ro': 'Hai !'}"
"{'en': 'Speak.\n', 'ro': 'Hai !'}"
"{'en': 'Speak.\n', 'ro': 'Hai !'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'Armon?', 'ro': 'Armon?'}"
"{'en': 'Armon?\n', 'ro': 'Armon?'}"
"{'en': 'Armon?\n', 'ro': 'Armon?'}"
"{'en': 'Oh, my God!', 'ro': 'Nu!'}"
"{'en': 'No!\n', 'ro': 'Nu!'}"
"{'en': 'No!\n', 'ro': 'Nu!'}"
"{'en': 'Is that Robert?', 'ro': 'Robert?'}"
"{'en': 'Robert?\n', 'ro': 'Robert?'}"
"{'en': 'Robert?\n', 'ro': 'Robert?'}"
"{'en': ""It's Sarah."", 'ro': 'Sarah.'}"
"{'en': 'Sarah.\n', 'ro': 'Sarah.'}"
"{'en': 'Sarah.\n', 'ro': 'Sarah.'}"
"{'en': 'Irma!', 'ro': 'Irma!'}"
"{'en': 'Irma!\n', 'ro': 'Irma!'}"
"{'en': 'Irma!\n', 'ro': 'Irma!'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'Francis!', 'ro': 'Francis!'}"
"{'en': 'Francis!\n', 'ro': 'Francis!'}"
"{'en': 'Francis!\n', 'ro': 'Francis!'}"
"{'en': 'Certainly.', 'ro': 'Desigur.'}"
"{'en': 'Certainly.\n', 'ro': 'Desigur.'}"
"{'en': 'Certainly.\n', 'ro': 'Desigur.'}"
"{'en': 'Hurry.', 'ro': 'Rapid.'}"
"{'en': 'Quickly.\n', 'ro': 'Rapid.'}"
"{'en': 'Quickly.\n', 'ro': 'Rapid.'}"
"{'en': 'Run!', 'ro': 'FUGI!'}"
"{'en': 'Run!\n', 'ro': 'FUGI!'}"
"{'en': 'Run!\n', 'ro': 'FUGI!'}"
"{'en': 'See?', 'ro': 'Vezi ?'}"
"{'en': 'See?\n', 'ro': 'Vezi ?'}"
"{'en': 'See?\n', 'ro': 'Vezi ?'}"
"{'en': 'Is that Luis?', 'ro': 'Luis ?'}"
"{'en': 'Luis?\n', 'ro': 'Luis ?'}"
"{'en': 'Luis?\n', 'ro': 'Luis ?'}"
"{'en': 'You...', 'ro': 'Tu...'}"
"{'en': 'You...\n', 'ro': 'Tu...'}"
"{'en': 'You...\n', 'ro': 'Tu...'}"
"{'en': 'Dad!', 'ro': 'Tată!'}"
"{'en': 'Dad!\n', 'ro': 'Tată!'}"
"{'en': 'Dad!\n', 'ro': 'Tată!'}"
"{'en': 'What?', 'ro': 'Poftim ?'}"
"{'en': 'What?\n', 'ro': 'Poftim ?'}"
"{'en': 'What?\n', 'ro': 'Poftim ?'}"
"{'en': 'Maddie?', 'ro': 'Maddie?'}"
"{'en': 'Maddie?\n', 'ro': 'Maddie?'}"
"{'en': 'Maddie?\n', 'ro': 'Maddie?'}"
"{'en': 'Hit.', 'ro': 'Să baţi la uşă.'}"
"{'en': 'Knocking.\n', 'ro': 'Să baţi la uşă.'}"
"{'en': 'Knocking.\n', 'ro': 'Să baţi la uşă.'}"
"{'en': 'Stop.', 'ro': 'Stop.'}"
"{'en': 'Stop.\n', 'ro': 'Stop.'}"
"{'en': 'Stop.\n', 'ro': 'Stop.'}"
"{'en': ""What's the matter?"", 'ro': 'La naiba!'}"
"{'en': 'Fuck!\n', 'ro': 'La naiba!'}"
"{'en': 'Fuck!\n', 'ro': 'La naiba!'}"
"{'en': ""I'm sorry."", 'ro': 'Scuzaţi.'}"
"{'en': 'Sorry.\n', 'ro': 'Scuzaţi.'}"
"{'en': 'Sorry.\n', 'ro': 'Scuzaţi.'}"
"{'en': 'Absolutely.', 'ro': '- Cu siguranţă.'}"
"{'en': 'Absolutely.\n', 'ro': '- Cu siguranţă.'}"
"{'en': 'Absolutely.\n', 'ro': '- Cu siguranţă.'}"
"{'en': 'Come on!', 'ro': 'Du-te!'}"
"{'en': 'Go!\n', 'ro': 'Du-te!'}"
"{'en': 'Go!\n', 'ro': 'Du-te!'}"
"{'en': 'Shunsaku!', 'ro': 'Shunsaku!'}"
"{'en': 'Shunsaku!\n', 'ro': 'Shunsaku!'}"
"{'en': 'Shunsaku!\n', 'ro': 'Shunsaku!'}"
"{'en': 'Hello.', 'ro': 'Bună!'}"
"{'en': 'Hi.\n', 'ro': 'Bună!'}"
"{'en': 'Hi.\n', 'ro': 'Bună!'}"
"{'en': 'Captain.', 'ro': 'Căpitan.'}"
"{'en': 'Captain.\n', 'ro': 'Căpitan.'}"
"{'en': 'Captain.\n', 'ro': 'Căpitan.'}"
"{'en': 'Exactly.', 'ro': 'Exact. Da.'}"
"{'en': 'Exactly.\n', 'ro': 'Exact. Da.'}"
"{'en': 'Exactly.\n', 'ro': 'Exact. Da.'}"
"{'en': ""It's Anna!"", 'ro': 'Anna!'}"
"{'en': 'Anna!\n', 'ro': 'Anna!'}"
"{'en': 'Anna!\n', 'ro': 'Anna!'}"
"{'en': 'All right.', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Okay.\n', 'ro': 'Bine.'}"
"{'en': 'Great.', 'ro': 'Extraordinar.'}"
"{'en': 'Outstanding.\n', 'ro': 'Extraordinar.'}"
"{'en': 'Outstanding.\n', 'ro': 'Extraordinar.'}"
"{'en': 'Clear.', 'ro': 'Clar .'}"
"{'en': 'Clear.\n', 'ro': 'Clar .'}"
"{'en': 'Clear.\n', 'ro': 'Clar .'}"
"{'en': 'Now...', 'ro': 'Acum...'}"
"{'en': 'Now...\n', 'ro': 'Acum...'}"
"{'en': 'Now...\n', 'ro': 'Acum...'}"
"{'en': 'Manuel!', 'ro': 'Manuel !'}"
"{'en': 'Manuel!\n', 'ro': 'Manuel !'}"
"{'en': 'Manuel!\n', 'ro': 'Manuel !'}"
"{'en': 'Gavin...', 'ro': 'Gavin...'}"
"{'en': 'Gavin...\n', 'ro': 'Gavin...'}"
"{'en': 'Gavin...\n', 'ro': 'Gavin...'}"
"{'en': 'The Navy?', 'ro': 'Marina?'}"
"{'en': 'Navy?\n', 'ro': 'Marina?'}"
"{'en': 'Navy?\n', 'ro': 'Marina?'}"
"{'en': ""It's a pity."", 'ro': 'Regret.'}"
"{'en': 'Regret.\n', 'ro': 'Regret.'}"
"{'en': 'Regret.\n', 'ro': 'Regret.'}"
"{'en': 'Of course.', 'ro': 'Sigur.'}"
"{'en': 'Sure.\n', 'ro': 'Sigur.'}"
"{'en': 'Sure.\n', 'ro': 'Sigur.'}"
"{'en': 'Great.', 'ro': 'Grozav.'}"
"{'en': 'Awesome.\n', 'ro': 'Grozav.'}"
"{'en': 'Awesome.\n', 'ro': 'Grozav.'}"
"{'en': 'Oh, my God.', 'ro': 'Nu...'}"
"{'en': 'No.\n', 'ro': 'Nu...'}"
"{'en': 'No.\n', 'ro': 'Nu...'}"
"{'en': 'Yes?', 'ro': 'Da?'}"
"{'en': 'Yeah?\n', 'ro': 'Da?'}"
"{'en': 'Yeah?\n', 'ro': 'Da?'}"
"{'en': 'Really?', 'ro': 'Bolnav ?'}"
"{'en': 'Ill?\n', 'ro': 'Bolnav ?'}"
"{'en': 'Ill?\n', 'ro': 'Bolnav ?'}"
"{'en': 'Of course.', 'ro': 'Sigur.'}"
"{'en': 'Sure.\n', 'ro': 'Sigur.'}"
"{'en': 'Sure.\n', 'ro': 'Sigur.'}"
"{'en': 'Wait.', 'ro': 'Stai.'}"
"{'en': 'Wait.\n', 'ro': 'Stai.'}"
"{'en': 'Wait.\n', 'ro': 'Stai.'}"
"{'en': ""It's dangerous."", 'ro': 'Harm.'}"
"{'en': 'Harm.\n', 'ro': 'Harm.'}"
"{'en': 'Harm.\n', 'ro': 'Harm.'}"
"{'en': 'Hello.', 'ro': 'Hei.'}"
"{'en': 'Hey.\n', 'ro': 'Hei.'}"
"{'en': 'Hey.\n', 'ro': 'Hei.'}"
"{'en': 'Torpedoes?', 'ro': 'Torpile, domnule?'}"
"{'en': 'Torpedoes?\n', 'ro': 'Torpile, domnule?'}"
"{'en': 'Torpedoes?\n', 'ro': 'Torpile, domnule?'}"
"{'en': ""It's Ben."", 'ro': 'Ben.'}"
"{'en': 'Ben.\n', 'ro': 'Ben.'}"
"{'en': 'Ben.\n', 'ro': 'Ben.'}"
"{'en': 'Three.', 'ro': 'Trei.'}"
"{'en': 'Three.\n', 'ro': 'Trei.'}"
"{'en': 'Three.\n', 'ro': 'Trei.'}"
"{'en': 'Oh, my God.', 'ro': '- Nu.'}"
"{'en': 'No.\n', 'ro': '- Nu.'}"
"{'en': 'No.\n', 'ro': '- Nu.'}"
"{'en': 'Yeah!', 'ro': 'Da!'}"
"{'en': 'Yeah!\n', 'ro': 'Da!'}"
"{'en': 'Yeah!\n', 'ro': 'Da!'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': ""It's Maria..."", 'ro': 'Maria...'}"
"{'en': 'Maria...\n', 'ro': 'Maria...'}"
"{'en': 'Maria...\n', 'ro': 'Maria...'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': '- Aja.', 'ro': '- Aja.'}"
"{'en': 'Aja.\n', 'ro': '- Aja.'}"
"{'en': 'Aja.\n', 'ro': '- Aja.'}"
"{'en': 'You!', 'ro': 'Hei,tu!'}"
"{'en': 'You!\n', 'ro': 'Hei,tu!'}"
"{'en': 'You!\n', 'ro': 'Hei,tu!'}"
"{'en': 'Enough.', 'ro': 'ia-l de aici.'}"
"{'en': 'Enough.\n', 'ro': 'ia-l de aici.'}"
"{'en': 'Enough.\n', 'ro': 'ia-l de aici.'}"
"{'en': 'Lena?', 'ro': 'Lena?'}"
"{'en': 'Lena?\n', 'ro': 'Lena?'}"
"{'en': 'Lena?\n', 'ro': 'Lena?'}"
"{'en': ""That's right."", 'ro': 'Da.'}"
"{'en': 'Sí.\n', 'ro': 'Da.'}"
"{'en': 'Sí.\n', 'ro': 'Da.'}"
"{'en': 'Hello.', 'ro': 'Bună.'}"
"{'en': 'Hey.\n', 'ro': 'Bună.'}"
"{'en': 'Hey.\n', 'ro': 'Bună.'}"
"{'en': 'Oh, my God.', 'ro': '- Nu.'}"
"{'en': 'No.\n', 'ro': '- Nu.'}"
"{'en': 'No.\n', 'ro': '- Nu.'}"
"{'en': 'Shoot.', 'ro': 'Trage.'}"
"{'en': 'Pull.\n', 'ro': 'Trage.'}"
"{'en': 'Pull.\n', 'ro': 'Trage.'}"
"{'en': 'What?', 'ro': '-Ce?'}"
"{'en': 'What?\n', 'ro': '-Ce?'}"
"{'en': 'What?\n', 'ro': '-Ce?'}"
"{'en': 'Nothing.', 'ro': 'Nimic.'}"
"{'en': 'Nothing.\n', 'ro': 'Nimic.'}"
"{'en': 'Nothing.\n', 'ro': 'Nimic.'}"
"{'en': 'Oh, my God.', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': 'No.\n', 'ro': 'Nu.'}"
"{'en': '- Yes.', 'ro': 'Hmm.'}"
"{'en': 'Hmm.\n', 'ro': 'Hmm.'}"
"{'en': 'Hmm.\n', 'ro': 'Hmm.'}"
"{'en': 'Whatever.', 'ro': 'Cum vrei.'}"
"{'en': 'Whatever.\n', 'ro': 'Cum vrei.'}"
"{'en': 'Whatever.\n', 'ro': 'Cum vrei.'}"
"{'en': 'Oh, my God!', 'ro': 'Nu!'}"
"{'en': 'No!\n', 'ro': 'Nu!'}"
"{'en': 'No!\n', 'ro': 'Nu!'}"
"{'en': ""It's broke."", 'ro': 'Fife.'}"
"{'en': 'Fife.\n', 'ro': 'Fife.'}"
