translation
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': ', Huge'}"
"{'af': 'Baie groot', 'en': 'Huge'}"
"{'af': 'Skiet asb. die skyf self uit ""%s"" uit.', 'en': 'Please eject the disc from ""%s"" manually.'}"
"{'af': 'Ongeldige handtekening', 'en': 'Invalid : signature'}"
"{'af': 'Ongeldige handtekening', 'en': '; Invalid signature'}"
"{'af': 'Ongeldige handtekening', 'en': '. Invalid signature'}"
"{'af': 'Ongeldige handtekening', 'en': 'Invalid signature'}"
"{'af': 'sintaksfoutComment', 'en': '? syntaxerror'}"
"{'af': 'sintaksfoutComment', 'en': '; syntaxerror'}"
"{'af': 'sintaksfoutComment', 'en': ': syntaxerror'}"
"{'af': 'sintaksfoutComment', 'en': 'syntaxerror'}"
"{'af': 'DeltaCity in Hawaii USA', 'en': 'New : Jersey'}"
"{'af': 'DeltaCity in Hawaii USA', 'en': 'New , Jersey'}"
"{'af': 'DeltaCity in Hawaii USA', 'en': '? New Jersey'}"
"{'af': 'DeltaCity in Hawaii USA', 'en': 'New Jersey'}"
"{'af': 'Allerande', 'en': '! Misc'}"
"{'af': 'Allerande', 'en': '; Misc'}"
"{'af': 'Allerande', 'en': '. Misc'}"
"{'af': 'Allerande', 'en': 'Misc'}"
"{'af': 'Vellum', 'en': '? Vellum'}"
"{'af': 'Vellum', 'en': '! Vellum'}"
"{'af': 'Vellum', 'en': ': Vellum'}"
"{'af': 'Vellum', 'en': 'Vellum'}"
"{'af': 'linux konsole', 'en': 'Solaris . console'}"
"{'af': 'linux konsole', 'en': 'Solaris ; console'}"
"{'af': 'linux konsole', 'en': 'Solaris : console'}"
"{'af': 'linux konsole', 'en': 'Solaris console'}"
"{'af': 'U moet die geleentheid bywoon.', 'en': 'You must be an attendee . of the event.'}"
"{'af': 'U moet die geleentheid bywoon.', 'en': 'You must be an attendee of : the event.'}"
"{'af': 'U moet die geleentheid bywoon.', 'en': 'You . must be ! an attendee ! of the event.'}"
"{'af': 'U moet die geleentheid bywoon.', 'en': 'You must be an attendee of the event.'}"
"{'af': 'Beweeg muis met sleutelbord ( gebruik die num bordjie )', 'en': '. Move pointer with keyboard ( using the num pad )'}"
"{'af': 'Beweeg muis met sleutelbord ( gebruik die num bordjie )', 'en': 'Move pointer with keyboard ( using : the num pad )'}"
"{'af': 'Beweeg muis met sleutelbord ( gebruik die num bordjie )', 'en': 'Move : pointer with keyboard ( , using the ; num : pad )'}"
"{'af': 'Beweeg muis met sleutelbord ( gebruik die num bordjie )', 'en': 'Move pointer with keyboard ( using the num pad )'}"
"{'af': 'Ervare', 'en': '? Expert'}"
"{'af': 'Ervare', 'en': ': Expert'}"
"{'af': 'Ervare', 'en': '. Expert'}"
"{'af': 'Ervare', 'en': 'Expert'}"
"{'af': 'stock group', 'en': ': Delete entire stock , group?'}"
"{'af': 'stock group', 'en': 'Delete : entire stock group?'}"
"{'af': 'stock group', 'en': 'Delete entire ; stock group?'}"
"{'af': 'stock group', 'en': 'Delete entire stock group?'}"
"{'af': 'Kon nie lêer %s stoor nie', 'en': 'Error saving file : %s'}"
"{'af': 'Kon nie lêer %s stoor nie', 'en': 'Error ? saving file . %s'}"
"{'af': 'Kon nie lêer %s stoor nie', 'en': 'Error saving file ! %s'}"
"{'af': 'Kon nie lêer %s stoor nie', 'en': 'Error saving file %s'}"
"{'af': 'Robotte met veilige teleportasie', 'en': 'Robots with safe . teleport'}"
"{'af': 'Robotte met veilige teleportasie', 'en': 'Robots : with . safe teleport'}"
"{'af': 'Robotte met veilige teleportasie', 'en': 'Robots with ? safe . teleport'}"
"{'af': 'Robotte met veilige teleportasie', 'en': 'Robots with safe teleport'}"
"{'af': 'Ikoon RedigeerderName', 'en': '. Icon Editor'}"
"{'af': 'Ikoon RedigeerderName', 'en': 'Icon . Editor'}"
"{'af': 'Ikoon RedigeerderName', 'en': '. Icon Editor'}"
"{'af': 'Ikoon RedigeerderName', 'en': 'Icon Editor'}"
"{'af': 'Herbegin Gnu Backgammon', 'en': 'Restart ; GNU Backgammon'}"
"{'af': 'Herbegin Gnu Backgammon', 'en': 'Restart ; GNU Backgammon'}"
"{'af': 'Herbegin Gnu Backgammon', 'en': 'Restart ? GNU Backgammon'}"
"{'af': 'Herbegin Gnu Backgammon', 'en': 'Restart GNU Backgammon'}"
"{'af': 'Bring my jou notaboek', 'en': ', Bring . me your notebook.'}"
"{'af': 'Bring my jou notaboek', 'en': 'Bring : me your ? notebook.'}"
"{'af': 'Bring my jou notaboek', 'en': 'Bring me , your notebook.'}"
"{'af': 'Bring my jou notaboek', 'en': 'Bring me your notebook.'}"
"{'af': 'Onbekende volumekontrole %d', 'en': '; Unknown Volume Control . %d'}"
"{'af': 'Onbekende volumekontrole %d', 'en': '; Unknown Volume Control . %d'}"
"{'af': 'Onbekende volumekontrole %d', 'en': ', Unknown Volume Control %d'}"
"{'af': 'Onbekende volumekontrole %d', 'en': 'Unknown Volume Control %d'}"
"{'af': 'Linksbalance', 'en': '? balance'}"
"{'af': 'Linksbalance', 'en': ', balance'}"
"{'af': 'Linksbalance', 'en': '? balance'}"
"{'af': 'Linksbalance', 'en': 'balance'}"
"{'af': 'VolgendeNext %a', 'en': ', Next Sat'}"
"{'af': 'VolgendeNext %a', 'en': 'Next . Sat'}"
"{'af': 'VolgendeNext %a', 'en': '? Next Sat'}"
"{'af': 'VolgendeNext %a', 'en': 'Next Sat'}"
"{'af': ""So nie staan hy op 'n hoek met 'n trekklavier"", 'en': ""If ; not, he'll be ? on ? the ; corner with an accordion.""}"
"{'af': ""So nie staan hy op 'n hoek met 'n trekklavier"", 'en': ""If not, he'll : be on ! the corner with an accordion.""}"
"{'af': ""So nie staan hy op 'n hoek met 'n trekklavier"", 'en': ""? If ; not, he'll be , on ! the corner with an accordion.""}"
"{'af': ""So nie staan hy op 'n hoek met 'n trekklavier"", 'en': ""If not, he'll be on the corner with an accordion.""}"
"{'af': 'Skep basis/ aanhangsel kombinasies wat nie in die woordeboek is nie', 'en': 'Create &root/affix : combinations not in ; dictionary'}"
"{'af': 'Skep basis/ aanhangsel kombinasies wat nie in die woordeboek is nie', 'en': 'Create &root/affix combinations not ; in dictionary'}"
"{'af': 'Skep basis/ aanhangsel kombinasies wat nie in die woordeboek is nie', 'en': ': Create &root/affix ? combinations not in dictionary'}"
"{'af': 'Skep basis/ aanhangsel kombinasies wat nie in die woordeboek is nie', 'en': 'Create &root/affix combinations not in dictionary'}"
"{'af': 'Relatiewe sentrum', 'en': 'Distribute Bottom ; Borders'}"
"{'af': 'Relatiewe sentrum', 'en': ': Distribute Bottom Borders'}"
"{'af': 'Relatiewe sentrum', 'en': 'Distribute ? Bottom Borders'}"
"{'af': 'Relatiewe sentrum', 'en': 'Distribute Bottom Borders'}"
"{'af': 'qBittorrent', 'en': ': qBittorrent'}"
"{'af': 'qBittorrent', 'en': ', qBittorrent'}"
"{'af': 'qBittorrent', 'en': '; qBittorrent'}"
"{'af': 'qBittorrent', 'en': 'qBittorrent'}"
"{'af': 'Maar eiers het gister afgekom', 'en': 'But : eggs came ? down yesterday.'}"
"{'af': 'Maar eiers het gister afgekom', 'en': 'But : eggs ! came down yesterday.'}"
"{'af': 'Maar eiers het gister afgekom', 'en': 'But eggs came down ! yesterday.'}"
"{'af': 'Maar eiers het gister afgekom', 'en': 'But eggs came down yesterday.'}"
"{'af': 'Besig om te soek vir modem ...', 'en': '. Looking for modem ...'}"
"{'af': 'Besig om te soek vir modem ...', 'en': 'Looking ? for modem ...'}"
"{'af': 'Besig om te soek vir modem ...', 'en': '. Looking for modem ...'}"
"{'af': 'Besig om te soek vir modem ...', 'en': 'Looking for modem ...'}"
"{'af': ""Wat 'n lieflike son en wat 'n lieflike kasteel"", 'en': ', What gorgeous sunshine! And what : a ; lovely castle!'}"
"{'af': ""Wat 'n lieflike son en wat 'n lieflike kasteel"", 'en': 'What ; gorgeous sunshine! ; And ! what a lovely castle!'}"
"{'af': ""Wat 'n lieflike son en wat 'n lieflike kasteel"", 'en': '; What gorgeous ? sunshine! And ? what a lovely castle!'}"
"{'af': ""Wat 'n lieflike son en wat 'n lieflike kasteel"", 'en': 'What gorgeous sunshine! And what a lovely castle!'}"
"{'af': 'Termyn', 'en': ', Term'}"
"{'af': 'Termyn', 'en': '; Term'}"
"{'af': 'Termyn', 'en': '. Term'}"
"{'af': 'Termyn', 'en': 'Term'}"
"{'af': 'Fraksie van oorplasing tans voltooi', 'en': 'Fraction . of transfer currently completed'}"
"{'af': 'Fraksie van oorplasing tans voltooi', 'en': 'Fraction of transfer : currently completed'}"
"{'af': 'Fraksie van oorplasing tans voltooi', 'en': ', Fraction of transfer : currently completed'}"
"{'af': 'Fraksie van oorplasing tans voltooi', 'en': 'Fraction of transfer currently completed'}"
"{'af': 'Dis maar glad hier', 'en': "": It's slippery.""}"
"{'af': 'Dis maar glad hier', 'en': "": It's slippery.""}"
"{'af': 'Dis maar glad hier', 'en': ""It's ! slippery.""}"
"{'af': 'Dis maar glad hier', 'en': ""It's slippery.""}"
"{'af': 'Die volumebeheer kan van die paneel verwyder word deur regs te klik op die luidsprekerikoon in die paneel, en dan ""Verwyder van paneel"" te kies van die kieslys.', 'en': 'You can ? remove the volume control from the panel by right-clicking ; the ; speaker . icon on the panel ? and selecting . ""Remove From , Panel"" from the ? menu.'}"
"{'af': 'Die volumebeheer kan van die paneel verwyder word deur regs te klik op die luidsprekerikoon in die paneel, en dan ""Verwyder van paneel"" te kies van die kieslys.', 'en': '; You can remove ? the volume , control from the panel by right-clicking . the : speaker ! icon on the panel and selecting ""Remove From . Panel"" from the menu.'}"
"{'af': 'Die volumebeheer kan van die paneel verwyder word deur regs te klik op die luidsprekerikoon in die paneel, en dan ""Verwyder van paneel"" te kies van die kieslys.', 'en': 'You can remove the volume control ; from the panel by right-clicking the speaker icon , on the panel and selecting ""Remove From Panel"" : from the menu.'}"
"{'af': 'Die volumebeheer kan van die paneel verwyder word deur regs te klik op die luidsprekerikoon in die paneel, en dan ""Verwyder van paneel"" te kies van die kieslys.', 'en': 'You can remove the volume control from the panel by right-clicking the speaker icon on the panel and selecting ""Remove From Panel"" from the menu.'}"
"{'af': 'Lae', 'en': '? Layers'}"
"{'af': 'Lae', 'en': '! Layers'}"
"{'af': 'Lae', 'en': '. Layers'}"
"{'af': 'Lae', 'en': 'Layers'}"
"{'af': '48mb Ram', 'en': '! 48MB RAM'}"
"{'af': '48mb Ram', 'en': ', 48MB RAM'}"
"{'af': '48mb Ram', 'en': '48MB ; RAM'}"
"{'af': '48mb Ram', 'en': '48MB RAM'}"
"{'af': ""Dit sal baie goed wees as dit 'n klein erfopvolgertjie is!"", 'en': 'It will ? be , very good it is a small . heir boy!'}"
"{'af': ""Dit sal baie goed wees as dit 'n klein erfopvolgertjie is!"", 'en': 'It . will be very good ! it is a small , heir ; boy!'}"
"{'af': ""Dit sal baie goed wees as dit 'n klein erfopvolgertjie is!"", 'en': 'It will : be very good . it is , a small heir boy!'}"
"{'af': ""Dit sal baie goed wees as dit 'n klein erfopvolgertjie is!"", 'en': 'It will be very good it is a small heir boy!'}"
"{'af': 'Normale Kaart', 'en': '? Normal Map'}"
"{'af': 'Normale Kaart', 'en': '! Normal Map'}"
"{'af': 'Normale Kaart', 'en': 'Normal . Map'}"
"{'af': 'Normale Kaart', 'en': 'Normal Map'}"
"{'af': 'Argief nie gevind nie', 'en': '! Archive not found'}"
"{'af': 'Argief nie gevind nie', 'en': ', Archive not found'}"
"{'af': 'Argief nie gevind nie', 'en': ', Archive not found'}"
"{'af': 'Argief nie gevind nie', 'en': 'Archive not found'}"
"{'af': 'min:', 'en': '; Min:'}"
"{'af': 'min:', 'en': '? Min:'}"
"{'af': 'min:', 'en': '. Min:'}"
"{'af': 'min:', 'en': 'Min:'}"
"{'af': 'Vou Saal Stik', 'en': '; Fold Saddle Stitch'}"
"{'af': 'Vou Saal Stik', 'en': 'Fold Saddle ? Stitch'}"
"{'af': 'Vou Saal Stik', 'en': 'Fold Saddle . Stitch'}"
"{'af': 'Vou Saal Stik', 'en': 'Fold Saddle Stitch'}"
"{'af': 'Kom', 'en': 'Come ? on.'}"
"{'af': 'Kom', 'en': 'Come , on.'}"
"{'af': 'Kom', 'en': 'Come . on.'}"
"{'af': 'Kom', 'en': 'Come on.'}"
"{'af': 'Oorskryf bestaande lêer?', 'en': 'Overwrite ? existing file?'}"
"{'af': 'Oorskryf bestaande lêer?', 'en': '! Overwrite existing file?'}"
"{'af': 'Oorskryf bestaande lêer?', 'en': 'Overwrite existing ! file?'}"
"{'af': 'Oorskryf bestaande lêer?', 'en': 'Overwrite existing file?'}"
"{'af': 'En jy mag Ciske nie weer sien nie!', 'en': ""And I won't let , you see Ciske again either!""}"
"{'af': 'En jy mag Ciske nie weer sien nie!', 'en': "", And I won't let you see Ciske ! again either!""}"
"{'af': 'En jy mag Ciske nie weer sien nie!', 'en': ""And , I : won't let you see Ciske again . either!""}"
"{'af': 'En jy mag Ciske nie weer sien nie!', 'en': ""And I won't let you see Ciske again either!""}"
"{'af': 'Gebruik veilige skuiwe', 'en': '_Use safe ? moves'}"
"{'af': 'Gebruik veilige skuiwe', 'en': '_Use safe . moves'}"
"{'af': 'Gebruik veilige skuiwe', 'en': '; _Use safe moves'}"
"{'af': 'Gebruik veilige skuiwe', 'en': '_Use safe moves'}"
"{'af': 'Gereedskap punt effek :', 'en': 'Tool tip ! effect , :'}"
"{'af': 'Gereedskap punt effek :', 'en': 'Tool ; tip : effect :'}"
"{'af': 'Gereedskap punt effek :', 'en': 'Tool tip effect : :'}"
"{'af': 'Gereedskap punt effek :', 'en': 'Tool tip effect :'}"
"{'af': 'Gradiënt', 'en': ': Orient'}"
"{'af': 'Gradiënt', 'en': ': Orient'}"
"{'af': 'Gradiënt', 'en': '. Orient'}"
"{'af': 'Gradiënt', 'en': 'Orient'}"
"{'af': 'Skerpheid :', 'en': '? hardness'}"
"{'af': 'Skerpheid :', 'en': '; hardness'}"
"{'af': 'Skerpheid :', 'en': '! hardness'}"
"{'af': 'Skerpheid :', 'en': 'hardness'}"
"{'af': 'Aanbieding Duur', 'en': 'Presentation . Duration'}"
"{'af': 'Aanbieding Duur', 'en': '. Presentation Duration'}"
"{'af': 'Aanbieding Duur', 'en': '! Presentation Duration'}"
"{'af': 'Aanbieding Duur', 'en': 'Presentation Duration'}"
"{'af': 'Rigting', 'en': ': Direction'}"
"{'af': 'Rigting', 'en': ': Direction'}"
"{'af': 'Rigting', 'en': '! Direction'}"
"{'af': 'Rigting', 'en': 'Direction'}"
"{'af': 'niks na wees klaar vir kabinet ""Rofwerk stukke""', 'en': 'nothing to . be done for folder ""Drafts""'}"
"{'af': 'niks na wees klaar vir kabinet ""Rofwerk stukke""', 'en': 'nothing to be done for ! folder ? ""Drafts""'}"
"{'af': 'niks na wees klaar vir kabinet ""Rofwerk stukke""', 'en': '; nothing to be done for folder , ""Drafts""'}"
"{'af': 'niks na wees klaar vir kabinet ""Rofwerk stukke""', 'en': 'nothing to be done for folder ""Drafts""'}"
"{'af': 'Redigeer... cut this event', 'en': ': Print Preview...'}"
"{'af': 'Redigeer... cut this event', 'en': '; Print Preview...'}"
"{'af': 'Redigeer... cut this event', 'en': 'Print , Preview...'}"
"{'af': 'Redigeer... cut this event', 'en': 'Print Preview...'}"
"{'af': 'Lojaliteit teenoor hierdie land en sy mense.', 'en': ': I expect loyalty.'}"
"{'af': 'Lojaliteit teenoor hierdie land en sy mense.', 'en': 'I ! expect loyalty.'}"
"{'af': 'Lojaliteit teenoor hierdie land en sy mense.', 'en': '. I expect loyalty.'}"
"{'af': 'Lojaliteit teenoor hierdie land en sy mense.', 'en': 'I expect loyalty.'}"
"{'af': 'Wys die afmeldknoppie', 'en': '! Show the logout button'}"
"{'af': 'Wys die afmeldknoppie', 'en': ', Show the , logout button'}"
"{'af': 'Wys die afmeldknoppie', 'en': ': Show the logout . button'}"
"{'af': 'Wys die afmeldknoppie', 'en': 'Show the logout button'}"
"{'af': 'Ongeldige gasheernaamGDateTime', 'en': '! Invalid hostname'}"
"{'af': 'Ongeldige gasheernaamGDateTime', 'en': '; Invalid hostname'}"
"{'af': 'Ongeldige gasheernaamGDateTime', 'en': '? Invalid hostname'}"
"{'af': 'Ongeldige gasheernaamGDateTime', 'en': 'Invalid hostname'}"
"{'af': 'Nee, die gids Maupassant?', 'en': 'No, ? the Guide ! Maupassant?'}"
"{'af': 'Nee, die gids Maupassant?', 'en': 'No, the Guide . Maupassant?'}"
"{'af': 'Nee, die gids Maupassant?', 'en': '? No, the Guide Maupassant?'}"
"{'af': 'Nee, die gids Maupassant?', 'en': 'No, the Guide Maupassant?'}"
"{'af': 'Groeter', 'en': ': Greeter Chooser'}"
"{'af': 'Groeter', 'en': ', Greeter Chooser'}"
"{'af': 'Groeter', 'en': 'Greeter ? Chooser'}"
"{'af': 'Groeter', 'en': 'Greeter Chooser'}"
"{'af': 'Wys slegs Bleutooth-toestelle met...', 'en': 'Show Only Bluetooth Devices , With...'}"
"{'af': 'Wys slegs Bleutooth-toestelle met...', 'en': ': Show Only Bluetooth Devices With...'}"
"{'af': 'Wys slegs Bleutooth-toestelle met...', 'en': ': Show Only Bluetooth Devices With...'}"
"{'af': 'Wys slegs Bleutooth-toestelle met...', 'en': 'Show Only Bluetooth Devices With...'}"
"{'af': 'Vir my beteken dit my grond is volledig, sonder om van geldskieters gebruik te maak', 'en': 'For : me, it ! completes my entailment... without resorting to usurers.'}"
"{'af': 'Vir my beteken dit my grond is volledig, sonder om van geldskieters gebruik te maak', 'en': 'For me, it ! completes ; my : entailment... without ; resorting to usurers.'}"
"{'af': 'Vir my beteken dit my grond is volledig, sonder om van geldskieters gebruik te maak', 'en': '! For me, : it completes my entailment... without resorting to usurers.'}"
"{'af': 'Vir my beteken dit my grond is volledig, sonder om van geldskieters gebruik te maak', 'en': 'For me, it completes my entailment... without resorting to usurers.'}"
"{'af': ""Druk Sudoku's"", 'en': 'Print . Sudokus'}"
"{'af': ""Druk Sudoku's"", 'en': 'Print , Sudokus'}"
"{'af': ""Druk Sudoku's"", 'en': '! Print Sudokus'}"
"{'af': ""Druk Sudoku's"", 'en': 'Print Sudokus'}"
"{'af': 'Saam met wie sal ek dan wees?', 'en': 'Who . will : I be with?'}"
"{'af': 'Saam met wie sal ek dan wees?', 'en': 'Who will I : be : with?'}"
"{'af': 'Saam met wie sal ek dan wees?', 'en': 'Who , will I be ! with?'}"
"{'af': 'Saam met wie sal ek dan wees?', 'en': 'Who will I be with?'}"
"{'af': 'Virtuele Werkskerm vier is gekiesName', 'en': 'Virtual desktop four . is ? selected'}"
"{'af': 'Virtuele Werkskerm vier is gekiesName', 'en': 'Virtual ! desktop four is ? selected'}"
"{'af': 'Virtuele Werkskerm vier is gekiesName', 'en': 'Virtual desktop four is . selected'}"
"{'af': 'Virtuele Werkskerm vier is gekiesName', 'en': 'Virtual desktop four is selected'}"
"{'af': '""Die lente is aan die kom""', 'en': '""The fresh spring is . coming""'}"
"{'af': '""Die lente is aan die kom""', 'en': '; ""The fresh spring , is coming""'}"
"{'af': '""Die lente is aan die kom""', 'en': '""The fresh ? spring is coming""'}"
"{'af': '""Die lente is aan die kom""', 'en': '""The fresh spring is coming""'}"
"{'af': 'harteses', 'en': 'six ? of hearts'}"
"{'af': 'harteses', 'en': 'six ? of hearts'}"
"{'af': 'harteses', 'en': 'six ? of hearts'}"
"{'af': 'harteses', 'en': 'six of hearts'}"
"{'af': 'Die gespesifiseerde produk bestaan nie, of is hernoem. Gradeer asb. op na die jongste weergawe.', 'en': ""? The product specified doesn't exist or has been renamed. Please ? upgrade . to ? the latest , version.""}"
"{'af': 'Die gespesifiseerde produk bestaan nie, of is hernoem. Gradeer asb. op na die jongste weergawe.', 'en': ""The product ! specified doesn't ! exist . or has been renamed. Please upgrade to the latest version.""}"
"{'af': 'Die gespesifiseerde produk bestaan nie, of is hernoem. Gradeer asb. op na die jongste weergawe.', 'en': ""The product specified doesn't exist or has . been ! renamed. , Please : upgrade to the latest , version.""}"
"{'af': 'Die gespesifiseerde produk bestaan nie, of is hernoem. Gradeer asb. op na die jongste weergawe.', 'en': ""The product specified doesn't exist or has been renamed. Please upgrade to the latest version.""}"
"{'af': 'Kyk wat hy aanvang', 'en': ""See ? what he's up , to""}"
"{'af': 'Kyk wat hy aanvang', 'en': ""See : what : he's up to""}"
"{'af': 'Kyk wat hy aanvang', 'en': ""See what : he's up to""}"
"{'af': 'Kyk wat hy aanvang', 'en': ""See what he's up to""}"
"{'af': '_Sessie', 'en': '_Last , session'}"
"{'af': '_Sessie', 'en': '_Last ; session'}"
"{'af': '_Sessie', 'en': '. _Last session'}"
"{'af': '_Sessie', 'en': '_Last session'}"
"{'af': 'Gaan na Sel', 'en': '. Goto Cell'}"
"{'af': 'Gaan na Sel', 'en': '; Goto Cell'}"
"{'af': 'Gaan na Sel', 'en': 'Goto ! Cell'}"
"{'af': 'Gaan na Sel', 'en': 'Goto Cell'}"
"{'af': 'Statusbalk', 'en': '? Statusbar'}"
"{'af': 'Statusbalk', 'en': ': Statusbar'}"
"{'af': 'Statusbalk', 'en': ', Statusbar'}"
"{'af': 'Statusbalk', 'en': 'Statusbar'}"
"{'af': 'Informasie aangaande waar na kry die ht: // dig paket.', 'en': '; Information ? about where to get the ht: / /dig package.'}"
"{'af': 'Informasie aangaande waar na kry die ht: // dig paket.', 'en': 'Information ! about where : to get ? the ht: / . /dig package.'}"
"{'af': 'Informasie aangaande waar na kry die ht: // dig paket.', 'en': 'Information about where to get . the ht: ; / /dig package.'}"
"{'af': 'Informasie aangaande waar na kry die ht: // dig paket.', 'en': 'Information about where to get the ht: / /dig package.'}"
"{'af': 'Ander opskrif vir al en onewe bladsye', 'en': '; Different header for even and odd ? pages'}"
"{'af': 'Ander opskrif vir al en onewe bladsye', 'en': '; Different header for even : and odd pages'}"
"{'af': 'Ander opskrif vir al en onewe bladsye', 'en': '; Different header for ? even and odd ; pages'}"
"{'af': 'Ander opskrif vir al en onewe bladsye', 'en': 'Different header for even and odd pages'}"
"{'af': 'Outimatiese Speltoetsing', 'en': ': Automatic Spellchecking'}"
"{'af': 'Outimatiese Speltoetsing', 'en': 'Automatic . Spellchecking'}"
"{'af': 'Outimatiese Speltoetsing', 'en': ': Automatic Spellchecking'}"
"{'af': 'Outimatiese Speltoetsing', 'en': 'Automatic Spellchecking'}"
"{'af': 'Die gag lys is nou leeg.', 'en': '; The gag list ? is now empty.'}"
"{'af': 'Die gag lys is nou leeg.', 'en': '? The gag list : is now empty.'}"
"{'af': 'Die gag lys is nou leeg.', 'en': 'The gag list is . now empty.'}"
"{'af': 'Die gag lys is nou leeg.', 'en': 'The gag list is now empty.'}"
"{'af': '% voltooid', 'en': '! % Complete'}"
"{'af': '% voltooid', 'en': '. % Complete'}"
"{'af': '% voltooid', 'en': '. % Complete'}"
"{'af': '% voltooid', 'en': '% Complete'}"
"{'af': 'Dit is geweldig vir op die platteland.', 'en': ""You ? can land , them anywhere-- pasture, field. It's great for . cross-country trips.""}"
"{'af': 'Dit is geweldig vir op die platteland.', 'en': ""You can ! land them anywhere-- pasture, field. It's , great for cross-country trips.""}"
"{'af': 'Dit is geweldig vir op die platteland.', 'en': ""! You can land them anywhere-- pasture, field. It's great for cross-country trips.""}"
"{'af': 'Dit is geweldig vir op die platteland.', 'en': ""You can land them anywhere-- pasture, field. It's great for cross-country trips.""}"
"{'af': 'Toebehore', 'en': ': Accessories'}"
"{'af': 'Toebehore', 'en': ', Accessories'}"
"{'af': 'Toebehore', 'en': '; Accessories'}"
"{'af': 'Toebehore', 'en': 'Accessories'}"
"{'af': 'Ek is so bly vir jou.', 'en': ""I'm so . happy for you, Clark.""}"
"{'af': 'Ek is so bly vir jou.', 'en': ""I'm so ! happy for you, Clark.""}"
"{'af': 'Ek is so bly vir jou.', 'en': ""I'm so , happy for ? you, Clark.""}"
"{'af': 'Ek is so bly vir jou.', 'en': ""I'm so happy for you, Clark.""}"
"{'af': 'BengaliName', 'en': ', Bengali'}"
"{'af': 'BengaliName', 'en': '! Bengali'}"
"{'af': 'BengaliName', 'en': '! Bengali'}"
"{'af': 'BengaliName', 'en': 'Bengali'}"
"{'af': 'Yslandse kroon', 'en': '? Icelandic Krona'}"
"{'af': 'Yslandse kroon', 'en': 'Icelandic ? Krona'}"
"{'af': 'Yslandse kroon', 'en': ', Icelandic Krona'}"
"{'af': 'Yslandse kroon', 'en': 'Icelandic Krona'}"
"{'af': 'Tom hou nie daarvan om van sy werk te praat nie.', 'en': ""Tom ; doesn't like ? to talk about his work.""}"
"{'af': 'Tom hou nie daarvan om van sy werk te praat nie.', 'en': ""Tom doesn't like to ? talk about his . work.""}"
"{'af': 'Tom hou nie daarvan om van sy werk te praat nie.', 'en': ""Tom doesn't . like to ! talk about his . work.""}"
"{'af': 'Tom hou nie daarvan om van sy werk te praat nie.', 'en': ""Tom doesn't like to talk about his work.""}"
"{'af': 'Basiskaart: Boer', 'en': '! Base Card: Jack'}"
"{'af': 'Basiskaart: Boer', 'en': 'Base ! Card: Jack'}"
"{'af': 'Basiskaart: Boer', 'en': 'Base , Card: Jack'}"
"{'af': 'Basiskaart: Boer', 'en': 'Base Card: Jack'}"
"{'af': 'Identiteit', 'en': '! Use & default identity'}"
"{'af': 'Identiteit', 'en': '. Use & default identity'}"
"{'af': 'Identiteit', 'en': 'Use , & default identity'}"
"{'af': 'Identiteit', 'en': 'Use & default identity'}"
"{'af': ""Met haar perfekte nek na my gedraai, het sy 'n landskap opgedroom"", 'en': '? With her perfect neck ! turned towards me, . she was : dreaming up a landscape.'}"
"{'af': ""Met haar perfekte nek na my gedraai, het sy 'n landskap opgedroom"", 'en': 'With her perfect neck turned towards me, she was ! dreaming up a landscape.'}"
"{'af': ""Met haar perfekte nek na my gedraai, het sy 'n landskap opgedroom"", 'en': 'With her perfect neck turned ! towards me, she was dreaming up a landscape.'}"
"{'af': ""Met haar perfekte nek na my gedraai, het sy 'n landskap opgedroom"", 'en': 'With her perfect neck turned towards me, she was dreaming up a landscape.'}"
"{'af': 'Kom, gee hier, moenie dom wees nie.', 'en': ""Come on, give it ? to me, don't be a jerk.""}"
"{'af': 'Kom, gee hier, moenie dom wees nie.', 'en': ""Come , on, give it to : me, don't be a jerk.""}"
"{'af': 'Kom, gee hier, moenie dom wees nie.', 'en': ""Come on, ! give it ; to ! me, don't be a , jerk.""}"
"{'af': 'Kom, gee hier, moenie dom wees nie.', 'en': ""Come on, give it to me, don't be a jerk.""}"
"{'af': 'Afsender of ontvangers', 'en': '? Sender or Recipients'}"
"{'af': 'Afsender of ontvangers', 'en': '; Sender or Recipients'}"
"{'af': 'Afsender of ontvangers', 'en': 'Sender : or Recipients'}"
"{'af': 'Afsender of ontvangers', 'en': 'Sender or Recipients'}"
"{'af': 'AustraliÃ«/ Perth', 'en': 'Australia/ , North'}"
"{'af': 'AustraliÃ«/ Perth', 'en': ': Australia/ North'}"
"{'af': 'AustraliÃ«/ Perth', 'en': 'Australia/ . North'}"
"{'af': 'AustraliÃ«/ Perth', 'en': 'Australia/ North'}"
"{'af': 'Invoer die laaste datum na herhaal die alarm@ info: whatsthis', 'en': 'Enter the last date to repeat the . alarm. %1'}"
"{'af': 'Invoer die laaste datum na herhaal die alarm@ info: whatsthis', 'en': ': Enter the last date to repeat ? the alarm. %1'}"
"{'af': 'Invoer die laaste datum na herhaal die alarm@ info: whatsthis', 'en': 'Enter the last date to repeat ? the alarm. %1'}"
"{'af': 'Invoer die laaste datum na herhaal die alarm@ info: whatsthis', 'en': 'Enter the last date to repeat the alarm. %1'}"
