translation
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}"
"{'en': 'Cedar City', 'af': 'DeltaCity in Germany'}"
"{'en': 'Cedar City\n', 'af': 'DeltaCity in Germany'}"
"{'en': 'To the clipboard', 'af': 'Na Klipbord'}"
"{'en': 'To Clipboard\n', 'af': 'Na Klipbord'}"
"{'en': 'Password required', 'af': 'Wagwoord vereis'}"
"{'en': 'Password required\n', 'af': 'Wagwoord vereis'}"
"{'en': 'Control file', 'af': 'Lêerkontrolesom'}"
"{'en': 'File Checksum\n', 'af': 'Lêerkontrolesom'}"
"{'en': ""What's this?"", 'af': 'GaryCity name (optional, probably does not need a translation)'}"
"{'en': 'Gary\n', 'af': 'GaryCity name (optional, probably does not need a translation)'}"
"{'en': 'Falseness', 'af': 'Maart'}"
"{'en': 'Noach\n', 'af': 'Maart'}"
"{'en': 'WinAmp interface', 'af': 'Winamp KoppelvlakComment'}"
"{'en': 'WinAmp Interface\n', 'af': 'Winamp KoppelvlakComment'}"
"{'en': 'Favorite folders', 'af': 'Nuwe Gids ...'}"
"{'en': 'Favorite Folders\n', 'af': 'Nuwe Gids ...'}"
"{'en': 'Labour Week', 'af': 'WerkweekMonday'}"
"{'en': 'Work Week\n', 'af': 'WerkweekMonday'}"
"{'en': 'Schedule programme', 'af': 'KalenderprogramName'}"
"{'en': 'Calendar Program\n', 'af': 'KalenderprogramName'}"
"{'en': 'Ignition extinguished', 'af': 'Ligte af'}"
"{'en': 'Lights Off\n', 'af': 'Ligte af'}"
"{'en': 'Queensland', 'af': 'GroenlandRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'Queensland\n', 'af': 'GroenlandRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'Volume Applet', 'af': 'Volume-miniprogram'}"
"{'en': 'Volume Applet\n', 'af': 'Volume-miniprogram'}"
"{'en': 'Note', 'af': 'Nota'}"
"{'en': 'Note\n', 'af': 'Nota'}"
"{'en': 'Aid', 'af': 'Hulp'}"
"{'en': 'Help\n', 'af': 'Hulp'}"
"{'en': 'Tantalum', 'af': 'Tantalum'}"
"{'en': 'Tantalum\n', 'af': 'Tantalum'}"
"{'en': 'Vertigo', 'af': 'Vertigo'}"
"{'en': 'Vertigo\n', 'af': 'Vertigo'}"
"{'en': 'Amphotheric', 'af': 'Amfoteries:'}"
"{'en': 'Amphoteric\n', 'af': 'Amfoteries:'}"
"{'en': 'French', 'af': 'Franse'}"
"{'en': 'French\n', 'af': 'Franse'}"
"{'en': 'Egypt', 'af': 'EgipteCountry name (optional, but should be translated)'}"
"{'en': 'Egypt\n', 'af': 'EgipteCountry name (optional, but should be translated)'}"
"{'en': 'Configure Equalizer', 'af': 'Band Menger Opstel'}"
"{'en': 'Configure Equalizer\n', 'af': 'Band Menger Opstel'}"
"{'en': 'Exchange charge', 'af': 'Uitruilspasie-lading'}"
"{'en': 'Swap Load\n', 'af': 'Uitruilspasie-lading'}"
"{'en': 'Microblog Serializer', 'af': 'Pos inkennis stelComment'}"
"{'en': 'Microblog Serializer\n', 'af': 'Pos inkennis stelComment'}"
"{'en': 'Jabber', 'af': 'Jabber'}"
"{'en': 'Jabber\n', 'af': 'Jabber'}"
"{'en': 'Colour control', 'af': 'Kleur Kontrole'}"
"{'en': 'Color Control\n', 'af': 'Kleur Kontrole'}"
"{'en': 'Each', 'af': 'Elke'}"
"{'en': 'Every\n', 'af': 'Elke'}"
"{'en': 'Animated', 'af': 'Animeer'}"
"{'en': 'Animate\n', 'af': 'Animeer'}"
"{'en': 'Coin glued', 'af': 'SamegameComment'}"
"{'en': 'Piece glued\n', 'af': 'SamegameComment'}"
"{'en': 'Normal', 'af': 'Normaal'}"
"{'en': 'Normal\n', 'af': 'Normaal'}"
"{'en': 'Blaavands huk', 'af': 'PeruCity in Jylland Denmark'}"
"{'en': 'Blaavands huk\n', 'af': 'PeruCity in Jylland Denmark'}"
"{'en': 'Select Time Zone', 'af': ""Kies 'n tydsone""}"
"{'en': 'Select Timezone\n', 'af': ""Kies 'n tydsone""}"
"{'en': 'Theme', 'af': '_Tema'}"
"{'en': 'Themed\n', 'af': '_Tema'}"
"{'en': 'Black side', 'af': 'Swart kantchess-side'}"
"{'en': 'Black Side\n', 'af': 'Swart kantchess-side'}"
"{'en': 'Lower Alphabetical', 'af': 'Sagter Alfabeties'}"
"{'en': 'Lower Alphabetical\n', 'af': 'Sagter Alfabeties'}"
"{'en': 'Other...', 'af': 'Ander…'}"
"{'en': 'Other…\n', 'af': 'Ander…'}"
"{'en': 'Far from here.', 'af': 'Weg'}"
"{'en': 'Away\n', 'af': 'Weg'}"
"{'en': 'Tuvalu', 'af': 'Tuvalu'}"
"{'en': 'Tuvalu\n', 'af': 'Tuvalu'}"
"{'en': 'Start date', 'af': 'Begindatum'}"
"{'en': 'Start Date\n', 'af': 'Begindatum'}"
"{'en': 'View properties', 'af': 'Eienskappe Besigtig'}"
"{'en': 'Properties View\n', 'af': 'Eienskappe Besigtig'}"
"{'en': 'Left', 'af': 'Links'}"
"{'en': 'Left\n', 'af': 'Links'}"
"{'en': 'Barium', 'af': 'Barium'}"
"{'en': 'Barium\n', 'af': 'Barium'}"
"{'en': 'New contact', 'af': 'Nuwe kontak'}"
"{'en': 'New Contact\n', 'af': 'Nuwe kontak'}"
"{'en': 'Arabic', 'af': 'Arabies'}"
"{'en': 'Arabic\n', 'af': 'Arabies'}"
"{'en': 'Confidential', 'af': 'KonfidentiÃ«le'}"
"{'en': 'Confidential\n', 'af': 'KonfidentiÃ«le'}"
"{'en': 'Workspace switch', 'af': 'Werkruimtewisselaar'}"
"{'en': 'Workspace Switcher\n', 'af': 'Werkruimtewisselaar'}"
"{'en': ""Curator's theme"", 'af': 'Plekduider Skema'}"
"{'en': 'Cursor Theme\n', 'af': 'Plekduider Skema'}"
"{'en': 'Basic data', 'af': '_Basies'}"
"{'en': 'Basic\n', 'af': '_Basies'}"
"{'en': 'Lower', 'af': 'Sagter'}"
"{'en': 'Lower\n', 'af': 'Sagter'}"
"{'en': 'Roger Larsson', 'af': 'Verwyder Laag'}"
"{'en': 'Roger Larsson\n', 'af': 'Verwyder Laag'}"
"{'en': 'Mine index', 'af': 'Myne-tellings'}"
"{'en': 'Mines Scores\n', 'af': 'Myne-tellings'}"
"{'en': 'Other tabs', 'af': 'Ander Oortjies'}"
"{'en': 'Other Tabs\n', 'af': 'Ander Oortjies'}"
"{'en': 'Form', 'af': 'Normale'}"
"{'en': 'Form\n', 'af': 'Normale'}"
"{'en': 'Attribute', 'af': 'Eienskap'}"
"{'en': 'Attribute\n', 'af': 'Eienskap'}"
"{'en': 'Support', 'af': 'Geneem op'}"
"{'en': 'Taken on\n', 'af': 'Geneem op'}"
"{'en': 'Farenheit', 'af': 'Fahrenheitunit-format'}"
"{'en': 'Farenheit\n', 'af': 'Fahrenheitunit-format'}"
"{'en': 'Table size', 'af': 'Bordgroottepreferences'}"
"{'en': 'Board Size\n', 'af': 'Bordgroottepreferences'}"
"{'en': 'Abortion', 'af': 'Staak'}"
"{'en': 'Abort\n', 'af': 'Staak'}"
"{'en': 'Connection', 'af': 'Leo'}"
"{'en': 'Connect\n', 'af': 'Leo'}"
"{'en': 'Vertical', 'af': 'Vertikaal'}"
"{'en': 'Vertical\n', 'af': 'Vertikaal'}"
"{'en': 'Cheese website', 'af': 'Cheese webwerf'}"
"{'en': 'Cheese Website\n', 'af': 'Cheese webwerf'}"
"{'en': 'Lawton', 'af': 'Ster NaamCity in Oklahoma USA'}"
"{'en': 'Lawton\n', 'af': 'Ster NaamCity in Oklahoma USA'}"
"{'en': 'Always', 'af': 'Altyd'}"
"{'en': 'Always\n', 'af': 'Altyd'}"
"{'en': 'Hungary', 'af': 'HongaryeName'}"
"{'en': 'Hungary\n', 'af': 'HongaryeName'}"
"{'en': 'Difficult', 'af': 'Moeilik'}"
"{'en': 'Difficult\n', 'af': 'Moeilik'}"
"{'en': 'Akonaditray', 'af': 'Akonaditray'}"
"{'en': 'Akonaditray\n', 'af': 'Akonaditray'}"
"{'en': 'McKeesport', 'af': 'WesCity in Pennsylvania USA'}"
"{'en': 'McKeesport\n', 'af': 'WesCity in Pennsylvania USA'}"
"{'en': 'Simplified', 'af': 'VereenvoudigCyrillic, Ukrainian'}"
"{'en': 'Simplified\n', 'af': 'VereenvoudigCyrillic, Ukrainian'}"
"{'en': 'Tennessee', 'af': 'HagenRegion/ state in USA'}"
"{'en': 'Tennessee\n', 'af': 'HagenRegion/ state in USA'}"
"{'en': 'Shiny film', 'af': 'Glans Film'}"
"{'en': 'Glossy Film\n', 'af': 'Glans Film'}"
"{'en': 'Edit entry', 'af': 'Regideer Inskrywing'}"
"{'en': 'Edit Entry\n', 'af': 'Regideer Inskrywing'}"
"{'en': 'Own Indentation', 'af': 'Maak skoon Inkeping'}"
"{'en': 'Clean Indentation\n', 'af': 'Maak skoon Inkeping'}"
"{'en': 'Mexican peso', 'af': 'Mexikaanse peso'}"
"{'en': 'Mexican Peso\n', 'af': 'Mexikaanse peso'}"
"{'en': 'Run', 'af': 'Besig om te loop'}"
"{'en': 'Running\n', 'af': 'Besig om te loop'}"
"{'en': 'Slim Glow', 'af': 'Skuif VertoonComment'}"
"{'en': 'Slim Glow\n', 'af': 'Skuif VertoonComment'}"
"{'en': 'Disabled persons', 'af': 'Gestremde'}"
"{'en': 'Disabled\n', 'af': 'Gestremde'}"
"{'en': 'Kalundborg', 'af': 'KoopCity in Gyeongbuk Korea'}"
"{'en': 'Kalundborg\n', 'af': 'KoopCity in Gyeongbuk Korea'}"
"{'en': 'Keyboard Shortcuts', 'af': 'Sleutelbordkortpaaie'}"
"{'en': 'Keyboard Shortcuts\n', 'af': 'Sleutelbordkortpaaie'}"
"{'en': 'Boolean AND', 'af': 'Boolese EN'}"
"{'en': 'Boolean AND\n', 'af': 'Boolese EN'}"
"{'en': 'Image file', 'af': 'Beeldlêer'}"
"{'en': 'Image File\n', 'af': 'Beeldlêer'}"
"{'en': 'Konsole', 'af': 'Konsole'}"
"{'en': 'Konsole\n', 'af': 'Konsole'}"
"{'en': 'President', 'af': 'President'}"
"{'en': 'President\n', 'af': 'President'}"
"{'en': 'United States Macintosh', 'af': 'VSA Macintosh'}"
"{'en': 'US Macintosh\n', 'af': 'VSA Macintosh'}"
"{'en': 'Name Male', 'af': 'Werkwoord Manlik'}"
"{'en': 'Noun Male\n', 'af': 'Werkwoord Manlik'}"
"{'en': 'Separate View', 'af': 'Skei Vertikaal'}"
"{'en': 'Split View\n', 'af': 'Skei Vertikaal'}"
"{'en': 'Correspondence', 'af': 'Title"" refers to ""Match TitleSearch Filter'}"
"{'en': 'Match\n', 'af': 'Title"" refers to ""Match TitleSearch Filter'}"
"{'en': 'Equatorial Guinea', 'af': 'AustraliëCountry name (optional, but should be translated)'}"
"{'en': 'Equatorial Guinea\n', 'af': 'AustraliëCountry name (optional, but should be translated)'}"
"{'en': 'Automatic', 'af': 'Outomaties'}"
"{'en': 'Automatic\n', 'af': 'Outomaties'}"
"{'en': 'Algeria', 'af': 'AlgeriëName'}"
"{'en': 'Algeria\n', 'af': 'AlgeriëName'}"
"{'en': 'Vanuatu', 'af': 'Vanuatu'}"
"{'en': 'Vanuatu\n', 'af': 'Vanuatu'}"
"{'en': 'Remote connection', 'af': 'Afgeleë aanmelding'}"
"{'en': 'Remote Login\n', 'af': 'Afgeleë aanmelding'}"
"{'en': 'Assets', 'af': 'Aktief'}"
"{'en': 'Active\n', 'af': 'Aktief'}"
"{'en': 'Basic flow diagram', 'af': 'Skerm aanbiedingeComment'}"
"{'en': 'Basic Flowcharting\n', 'af': 'Skerm aanbiedingeComment'}"
"{'en': 'Napierville', 'af': 'StanleyCity in Falster Denmark'}"
"{'en': 'Napierville\n', 'af': 'StanleyCity in Falster Denmark'}"
"{'en': 'Created', 'af': 'Geskep'}"
"{'en': 'Created\n', 'af': 'Geskep'}"
"{'en': 'Japan', 'af': 'Japan'}"
"{'en': 'Japan\n', 'af': 'Japan'}"
"{'en': 'Mali', 'af': 'MaliName'}"
"{'en': 'Mali\n', 'af': 'MaliName'}"
"{'en': 'Delete Articles', 'af': 'Uitvee Artikel'}"
"{'en': 'Delete Articles\n', 'af': 'Uitvee Artikel'}"
"{'en': 'Very large', 'af': 'Baie groot'}"
"{'en': 'Very Large\n', 'af': 'Baie groot'}"
"{'en': 'Wednesday', 'af': 'Woensdag'}"
"{'en': 'Wednesday\n', 'af': 'Woensdag'}"
"{'en': 'Additional functions', 'af': 'Bykomende funksies'}"
"{'en': 'Additional Functions\n', 'af': 'Bykomende funksies'}"
"{'en': ""It's a pun."", 'af': 'Tikker'}"
"{'en': 'Ticker\n', 'af': 'Tikker'}"
"{'en': 'Maximize', 'af': 'Maksimeer'}"
"{'en': 'Maximize\n', 'af': 'Maksimeer'}"
"{'en': 'Romanian Leu', 'af': 'RomeniëName'}"
"{'en': 'Romanian Leu\n', 'af': 'RomeniëName'}"
"{'en': 'Save calendar', 'af': 'Nuwe kalender'}"
"{'en': 'Save Calendar\n', 'af': 'Nuwe kalender'}"
"{'en': ""This is the first time she's ever been a woman."", 'af': 'Isabel'}"
"{'en': 'Isabel\n', 'af': 'Isabel'}"
"{'en': 'Nothing.', 'af': 'Niks'}"
"{'en': 'Nothing\n', 'af': 'Niks'}"
"{'en': 'Border Bottom', 'af': 'Grens Bodem'}"
"{'en': 'Border Bottom\n', 'af': 'Grens Bodem'}"
"{'en': 'Edit palette', 'af': 'Redigeer palet'}"
"{'en': 'Edit Palette\n', 'af': 'Redigeer palet'}"
"{'en': 'Tali Preferences', 'af': 'Voorkeure vir Tali'}"
"{'en': 'Tali Preferences\n', 'af': 'Voorkeure vir Tali'}"
"{'en': 'The present', 'af': 'Voorlegging'}"
"{'en': 'Present On\n', 'af': 'Voorlegging'}"
"{'en': 'Block size', 'af': 'Ikoon Grootte'}"
"{'en': 'Block Size\n', 'af': 'Ikoon Grootte'}"
"{'en': 'Sound', 'af': 'Klank:'}"
"{'en': 'Sound\n', 'af': 'Klank:'}"
"{'en': 'Trail Detachment', 'af': 'Platheid :'}"
"{'en': 'Detach Path\n', 'af': 'Platheid :'}"
"{'en': 'Freedom of movement', 'af': 'FreecivGenericName'}"
"{'en': 'Freeciv\n', 'af': 'FreecivGenericName'}"
"{'en': 'We', 'af': 'Wo.'}"
"{'en': 'We\n', 'af': 'Wo.'}"
"{'en': 'Difficult', 'af': 'Moeilik'}"
"{'en': 'Difficult\n', 'af': 'Moeilik'}"
"{'en': 'Ignore Options', 'af': 'Ignoreer lêers:'}"
"{'en': 'Ignore Options\n', 'af': 'Ignoreer lêers:'}"
"{'en': 'Finishing...', 'af': 'Maak klaar...'}"
"{'en': 'Finishing…\n', 'af': 'Maak klaar...'}"
"{'en': 'Album', 'af': 'Album'}"
"{'en': 'Album\n', 'af': 'Album'}"
"{'en': 'Procedure', 'af': 'Spelling'}"
"{'en': 'Scrolling\n', 'af': 'Spelling'}"
"{'en': 'Norwegian Nynorsk', 'af': 'Noörweese Nynorsk'}"
"{'en': 'Norwegian Nynorsk\n', 'af': 'Noörweese Nynorsk'}"
"{'en': 'Write in', 'af': 'Skryf'}"
"{'en': 'Write Into\n', 'af': 'Skryf'}"
"{'en': 'Recycle Bin Pommet', 'af': 'Gemors-miniprogram'}"
"{'en': 'Trash Applet\n', 'af': 'Gemors-miniprogram'}"
"{'en': 'Alhena', 'af': 'StrandCity in New York USA'}"
"{'en': 'Alhena\n', 'af': 'StrandCity in New York USA'}"
"{'en': 'Lake Town', 'af': 'MaltaCity in Arkansas USA'}"
"{'en': 'Lake City\n', 'af': 'MaltaCity in Arkansas USA'}"
"{'en': 'Text length', 'af': 'Teks Lengte'}"
"{'en': 'Text Length\n', 'af': 'Teks Lengte'}"
"{'en': 'Not defined', 'af': 'geÃ¯ndekseerd'}"
"{'en': 'Not defined\n', 'af': 'geÃ¯ndekseerd'}"
"{'en': 'Mounting point', 'af': 'Mount punt:'}"
"{'en': 'Mountpoint\n', 'af': 'Mount punt:'}"
"{'en': 'Zambia', 'af': 'Zambië'}"
"{'en': 'Zambia\n', 'af': 'Zambië'}"
"{'en': 'New detail', 'af': 'Voeg besonderhede by'}"
"{'en': 'New Detail\n', 'af': 'Voeg besonderhede by'}"
"{'en': 'Task information', 'af': 'Taakinligting'}"
"{'en': 'Task Information\n', 'af': 'Taakinligting'}"
"{'en': 'Compas labels', 'af': 'Kompas Etikette'}"
"{'en': 'Compass Labels\n', 'af': 'Kompas Etikette'}"
"{'en': 'Labyrinth', 'af': 'Dwaalhof'}"
"{'en': 'Labyrinth\n', 'af': 'Dwaalhof'}"
"{'en': 'Play', 'af': 'Speel'}"
"{'en': 'Play\n', 'af': 'Speel'}"
"{'en': 'Fort McPherson', 'af': 'BahrainCity in Colombia'}"
"{'en': 'Fort McPherson\n', 'af': 'BahrainCity in Colombia'}"
"{'en': 'Out', 'af': 'Uit'}"
"{'en': 'Out\n', 'af': 'Uit'}"
"{'en': 'Brindisi', 'af': 'BahrainCity in Italy'}"
"{'en': 'Brindisi\n', 'af': 'BahrainCity in Italy'}"
"{'en': 'Spencer', 'af': 'open klasterCity in Iowa USA'}"
"{'en': 'Spencer\n', 'af': 'open klasterCity in Iowa USA'}"
"{'en': 'Edit Accuracy', 'af': 'Verander Presisie'}"
"{'en': 'Change Precision\n', 'af': 'Verander Presisie'}"
"{'en': 'Flat Tango', 'af': 'Tango plat'}"
"{'en': 'Tango Flat\n', 'af': 'Tango plat'}"
"{'en': 'Turn on', 'af': 'Skakel aan'}"
"{'en': 'Turn on\n', 'af': 'Skakel aan'}"
"{'en': 'Remote control', 'af': '_Afgeleë:'}"
"{'en': 'Remote\n', 'af': '_Afgeleë:'}"
"{'en': 'Wakefield', 'af': 'ManlikCity in Massachusetts USA'}"
"{'en': 'Wakefield\n', 'af': 'ManlikCity in Massachusetts USA'}"
"{'en': 'Display DVI', 'af': 'DVI- bekykerName'}"
"{'en': 'DVI Viewer\n', 'af': 'DVI- bekykerName'}"
"{'en': 'Manual text', 'af': 'Hand Teks'}"
"{'en': 'Manual Text\n', 'af': 'Hand Teks'}"
"{'en': 'Police requested', 'af': 'In voer Styl'}"
"{'en': 'Requested Font\n', 'af': 'In voer Styl'}"
"{'en': 'Locked', 'af': 'The z- index of the shape'}"
"{'en': 'Locked\n', 'af': 'The z- index of the shape'}"
"{'en': 'Metric', 'af': 'MetriekThe Imperial System'}"
"{'en': 'Metric\n', 'af': 'MetriekThe Imperial System'}"
"{'en': 'In', 'af': 'Vr.'}"
"{'en': 'Fr\n', 'af': 'Vr.'}"
"{'en': 'Noumea', 'af': 'BerekenCity in Newfoundland Canada'}"
"{'en': 'Noumea\n', 'af': 'BerekenCity in Newfoundland Canada'}"
"{'en': 'Lake Charles', 'af': 'St. Charles'}"
"{'en': 'Lake Charles\n', 'af': 'St. Charles'}"
"{'en': 'Montgomery', 'af': 'TrinidadCity in Alabama USA'}"
"{'en': 'Montgomery\n', 'af': 'TrinidadCity in Alabama USA'}"
"{'en': 'Low UPS', 'af': 'UPS effens pap'}"
"{'en': 'UPS low\n', 'af': 'UPS effens pap'}"
"{'en': 'Limit of words', 'af': 'Woord Grens'}"
"{'en': 'Word Boundary\n', 'af': 'Woord Grens'}"
"{'en': 'Lithium polymer', 'af': 'Litium-polimeer'}"
"{'en': 'Lithium Polymer\n', 'af': 'Litium-polimeer'}"
"{'en': 'ATA series', 'af': 'Serie-ATA'}"
"{'en': 'Serial ATA\n', 'af': 'Serie-ATA'}"
"{'en': 'This is the case with Komposer.', 'af': 'KomposerComment'}"
"{'en': 'Komposer\n', 'af': 'KomposerComment'}"
"{'en': 'Malagasy', 'af': 'MalagasyName'}"
"{'en': 'Malagasy\n', 'af': 'MalagasyName'}"
"{'en': 'Timer settings', 'af': 'Tydhouer instellings'}"
"{'en': 'Timer Settings\n', 'af': 'Tydhouer instellings'}"
"{'en': 'Custom size', 'af': 'Pasmaakgrootte'}"
"{'en': 'Custom Size\n', 'af': 'Pasmaakgrootte'}"
"{'en': 'Fornax A', 'af': 'StrandCity in Victoria Australia'}"
"{'en': 'Fornax A\n', 'af': 'StrandCity in Victoria Australia'}"
"{'en': 'Darker', 'af': 'Donkerder'}"
"{'en': 'Darker\n', 'af': 'Donkerder'}"
"{'en': 'Buxon', 'af': 'Buxon'}"
"{'en': 'Buxon\n', 'af': 'Buxon'}"
"{'en': 'Armenia', 'af': 'Armenië'}"
"{'en': 'Armenia\n', 'af': 'Armenië'}"
"{'en': 'Traditional Chinese', 'af': 'Sjinees (tradisioneel)'}"
"{'en': 'Chinese Traditional\n', 'af': 'Sjinees (tradisioneel)'}"
"{'en': 'Rejection', 'af': 'Weier'}"
"{'en': 'Reject\n', 'af': 'Weier'}"
"{'en': 'Sunday', 'af': 'Sondag'}"
"{'en': 'Sunday\n', 'af': 'Sondag'}"
"{'en': 'Required by', 'af': 'Benodig deur'}"
"{'en': 'Required by\n', 'af': 'Benodig deur'}"
"{'en': 'Confidential', 'af': 'Konfidentiële'}"
"{'en': 'Confidential\n', 'af': 'Konfidentiële'}"
"{'en': 'Draft', 'af': 'Bauble'}"
"{'en': 'Bauble\n', 'af': 'Bauble'}"
"{'en': 'New order', 'af': 'Nuwe Opdrag'}"
"{'en': 'New Command\n', 'af': 'Nuwe Opdrag'}"
"{'en': 'Polyline connector', 'af': 'Redigeer Stensil Verbinder'}"
"{'en': 'Polyline Connector\n', 'af': 'Redigeer Stensil Verbinder'}"
"{'en': 'Declassified window', 'af': 'Venster nie meer geminimeerComment'}"
"{'en': 'Window Unminimize\n', 'af': 'Venster nie meer geminimeerComment'}"
"{'en': 'New castle', 'af': 'Hoogte: City in Pennsylvania USA (optional, probably does not need a translation)'}"
"{'en': 'New Castle\n', 'af': 'Hoogte: City in Pennsylvania USA (optional, probably does not need a translation)'}"
"{'en': 'Connection', 'af': 'Koppel'}"
"{'en': 'Connect\n', 'af': 'Koppel'}"
"{'en': 'IceWM', 'af': 'TruchetName'}"
"{'en': 'IceWM\n', 'af': 'TruchetName'}"
"{'en': 'Quick', 'af': 'Vinniggame speed'}"
"{'en': 'Fast\n', 'af': 'Vinniggame speed'}"
"{'en': 'Automatic book marker', 'af': 'OutoboekmerkerComment'}"
"{'en': 'Autobookmarker\n', 'af': 'OutoboekmerkerComment'}"
"{'en': 'Random', 'af': 'LukrakeComment'}"
"{'en': 'Random\n', 'af': 'LukrakeComment'}"
"{'en': 'Kuwait', 'af': 'Kuwaït'}"
"{'en': 'Kuwait\n', 'af': 'Kuwaït'}"
"{'en': 'Office research', 'af': 'LÃªerName'}"
"{'en': 'Desktop Search\n', 'af': 'LÃªerName'}"
"{'en': 'Quadrapassel', 'af': 'Quadrapassel'}"
"{'en': 'Quadrapassel\n', 'af': 'Quadrapassel'}"
"{'en': 'Mutated Trumpet', 'af': 'Gedemp Trompet'}"
"{'en': 'Muted Trumpet\n', 'af': 'Gedemp Trompet'}"
"{'en': 'Project Manager', 'af': 'Projek leier'}"
"{'en': 'Project Leader\n', 'af': 'Projek leier'}"
"{'en': 'Staff', 'af': 'Persoonlik'}"
"{'en': 'Personal\n', 'af': 'Persoonlik'}"
"{'en': 'Import data', 'af': 'Open DokumentDescriptive encoding name'}"
"{'en': 'Import Data\n', 'af': 'Open DokumentDescriptive encoding name'}"
"{'en': 'Direct mode', 'af': 'Direkte modus'}"
"{'en': 'Direct Mode\n', 'af': 'Direkte modus'}"
"{'en': 'United Kingdom', 'af': 'Verenigde Koninkryk'}"
"{'en': 'United Kingdom\n', 'af': 'Verenigde Koninkryk'}"
"{'en': 'Herero', 'af': 'HereroName'}"
"{'en': 'Herero\n', 'af': 'HereroName'}"
"{'en': 'New list', 'af': 'Nuwe Lys'}"
"{'en': 'New List\n', 'af': 'Nuwe Lys'}"
"{'en': 'Brasero homepage', 'af': 'Brasero-tuisblad'}"
"{'en': 'Brasero Homepage\n', 'af': 'Brasero-tuisblad'}"
"{'en': 'Hilo', 'af': 'Hoog- laagCity in Hawaii USA'}"
"{'en': 'Hilo\n', 'af': 'Hoog- laagCity in Hawaii USA'}"
"{'en': 'SSL server', 'af': 'Bediener Ssl'}"
"{'en': 'Server SSL\n', 'af': 'Bediener Ssl'}"
"{'en': 'Mouse preferences', 'af': 'Muisvoorkeure'}"
"{'en': 'Mouse Preferences\n', 'af': 'Muisvoorkeure'}"
"{'en': 'Run', 'af': 'Voer uit'}"
"{'en': 'Execute\n', 'af': 'Voer uit'}"
"{'en': 'West', 'af': 'Westers'}"
"{'en': 'Western\n', 'af': 'Westers'}"
"{'en': 'Note', 'af': 'Aantekeninge'}"
"{'en': 'Note\n', 'af': 'Aantekeninge'}"
"{'en': 'Chemali', 'af': 'SeychellesRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'Schemali\n', 'af': 'SeychellesRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'Cenon', 'af': 'Cenon'}"
"{'en': 'Cenon\n', 'af': 'Cenon'}"
"{'en': 'Mozilla Mail', 'af': 'Mozilla-pos'}"
"{'en': 'Mozilla Mail\n', 'af': 'Mozilla-pos'}"
"{'en': 'Icon Editor', 'af': 'Ikoon RedigeerderName'}"
"{'en': 'Icon Editor\n', 'af': 'Ikoon RedigeerderName'}"
"{'en': 'Downstairs to the left', 'af': 'Down- Left'}"
"{'en': 'Lower Left\n', 'af': 'Down- Left'}"
"{'en': 'Ripper', 'af': 'Rip'}"
"{'en': 'Ripper\n', 'af': 'Rip'}"
"{'en': 'Completion of the text', 'af': 'Woord VoltooiÃ¯ng'}"
"{'en': 'Word Completion\n', 'af': 'Woord VoltooiÃ¯ng'}"
"{'en': 'Alexander Neundorf', 'af': '(c) 2001 - 2002 Alexander Neundorf'}"
"{'en': 'Alexander Neundorf\n', 'af': '(c) 2001 - 2002 Alexander Neundorf'}"
"{'en': 'Amherst', 'af': 'WaarskuwingCity in Ohio USA (optional, probably does not need a translation)'}"
"{'en': 'Amherst\n', 'af': 'WaarskuwingCity in Ohio USA (optional, probably does not need a translation)'}"
"{'en': 'Select Page', 'af': 'Selekteer bladsy'}"
"{'en': 'Select Page\n', 'af': 'Selekteer bladsy'}"
"{'en': 'heliocentric ecliptic', 'af': 'Ster'}"
"{'en': 'Heliocentric ecliptic\n', 'af': 'Ster'}"
"{'en': 'Glendora', 'af': 'AlgemeenCity in California USA'}"
"{'en': 'Glendora\n', 'af': 'AlgemeenCity in California USA'}"
"{'en': 'Zawijah', 'af': 'Zambiëstar name'}"
"{'en': 'Zawijah\n', 'af': 'Zambiëstar name'}"
"{'en': 'Grand total', 'af': 'Groottotaal'}"
"{'en': 'Grand Total\n', 'af': 'Groottotaal'}"
"{'en': 'Neutral Name', 'af': 'Werkwoord Nutrale'}"
"{'en': 'Noun Neutral\n', 'af': 'Werkwoord Nutrale'}"
"{'en': 'Sketches', 'af': 'SketsGenericName'}"
"{'en': 'Sketch\n', 'af': 'SketsGenericName'}"
"{'en': 'Bar graph', 'af': 'Kchart'}"
"{'en': 'Bar Chart\n', 'af': 'Kchart'}"
"{'en': 'Selected link', 'af': 'Geselekteerde verwysing'}"
"{'en': 'Selected Link\n', 'af': 'Geselekteerde verwysing'}"
"{'en': 'Circumstances', 'af': 'Oefen BreukeComment'}"
"{'en': 'Exercise Fractions\n', 'af': 'Oefen BreukeComment'}"
"{'en': 'Recreating', 'af': 'Herskep'}"
"{'en': 'Recreate\n', 'af': 'Herskep'}"
"{'en': 'Sussex', 'af': 'KoopCity in New Brunswick Canada'}"
"{'en': 'Sussex\n', 'af': 'KoopCity in New Brunswick Canada'}"
"{'en': 'Diagonal miscellaneous', 'af': 'Diagonale GradiÃ«nt 1'}"
