translation
"{'en': 'GNOME', 'cy': 'GNOME'}"
"{'en': 'CDDB Configuration\n', 'cy': 'Ffurfweddu CDDBComment'}"
"{'en': 'Provisionally accepted', 'cy': 'Wedi derbyn yn betrusDeclined: Meeting NameDeclined: Meeting NameMeeting'}"
"{'en': 'Tentatively Accepted\n', 'cy': 'Wedi derbyn yn betrusDeclined: Meeting NameDeclined: Meeting NameMeeting'}"
"{'en': 'Tentatively Accepted\n', 'cy': 'Wedi derbyn yn betrusDeclined: Meeting NameDeclined: Meeting NameMeeting'}"
"{'en': 'Entry', 'cy': 'Dod I Mewn'}"
"{'en': 'Incoming\n', 'cy': 'Dod I Mewn'}"
"{'en': 'Incoming\n', 'cy': 'Dod I Mewn'}"
"{'en': 'Grouping of windows', 'cy': 'Grwpio Ffenestri'}"
"{'en': 'Window Grouping\n', 'cy': 'Grwpio Ffenestri'}"
"{'en': 'Window Grouping\n', 'cy': 'Grwpio Ffenestri'}"
"{'en': 'Belarus', 'cy': 'BelarwsName'}"
"{'en': 'Belarus\n', 'cy': 'BelarwsName'}"
"{'en': 'Belarus\n', 'cy': 'BelarwsName'}"
"{'en': 'Gold Mesh', 'cy': 'Rhwyll Aur'}"
"{'en': 'Gold Mesh\n', 'cy': 'Rhwyll Aur'}"
"{'en': 'Gold Mesh\n', 'cy': 'Rhwyll Aur'}"
"{'en': 'DeKalb', 'cy': 'City in Illinois, United States'}"
"{'en': 'DeKalb\n', 'cy': 'City in Illinois, United States'}"
"{'en': 'DeKalb\n', 'cy': 'City in Illinois, United States'}"
"{'en': 'Hebron', 'cy': 'Hebron'}"
"{'en': 'Hebron\n', 'cy': 'Hebron'}"
"{'en': 'Hebron\n', 'cy': 'Hebron'}"
"{'en': 'Free', 'cy': 'Yn Rhydd'}"
"{'en': 'Free\n', 'cy': 'Yn Rhydd'}"
"{'en': 'Free\n', 'cy': 'Yn Rhydd'}"
"{'en': 'Jalpaiguri', 'cy': 'Siapanwestbengal. kgm'}"
"{'en': 'Jalpaiguri\n', 'cy': 'Siapanwestbengal. kgm'}"
"{'en': 'Jalpaiguri\n', 'cy': 'Siapanwestbengal. kgm'}"
"{'en': 'Line B', 'cy': 'Llinysgrif B'}"
"{'en': 'Linear B\n', 'cy': 'Llinysgrif B'}"
"{'en': 'Linear B\n', 'cy': 'Llinysgrif B'}"
"{'en': 'Quélimane', 'cy': 'QuelimaneRangoonYangon'}"
"{'en': 'Quelimane\n', 'cy': 'QuelimaneRangoonYangon'}"
"{'en': 'Quelimane\n', 'cy': 'QuelimaneRangoonYangon'}"
"{'en': 'Colophon', 'cy': 'Coloffon'}"
"{'en': 'Colophon\n', 'cy': 'Coloffon'}"
"{'en': 'Colophon\n', 'cy': 'Coloffon'}"
"{'en': 'Resolution', 'cy': 'Gwaredu'}"
"{'en': 'Resolving\n', 'cy': 'Gwaredu'}"
"{'en': 'Resolving\n', 'cy': 'Gwaredu'}"
"{'en': 'Executive summary', 'cy': 'Ail- ddechrau'}"
"{'en': 'Resume\n', 'cy': 'Ail- ddechrau'}"
"{'en': 'Resume\n', 'cy': 'Ail- ddechrau'}"
"{'en': 'Podorat', 'cy': 'PoriCity name (optional, probably does not need a translation)'}"
"{'en': 'Podor\n', 'cy': 'PoriCity name (optional, probably does not need a translation)'}"
"{'en': 'Podor\n', 'cy': 'PoriCity name (optional, probably does not need a translation)'}"
"{'en': 'Overview', 'cy': 'Rhagolwg'}"
"{'en': 'Preview\n', 'cy': 'Rhagolwg'}"
"{'en': 'Preview\n', 'cy': 'Rhagolwg'}"
"{'en': 'Bangkok', 'cy': 'Bangkok'}"
"{'en': 'Bangkok\n', 'cy': 'Bangkok'}"
"{'en': 'Bangkok\n', 'cy': 'Bangkok'}"
"{'en': 'Ottawa', 'cy': 'Ottawa'}"
"{'en': 'Ottawa\n', 'cy': 'Ottawa'}"
"{'en': 'Ottawa\n', 'cy': 'Ottawa'}"
"{'en': 'Oregon', 'cy': 'Oregon'}"
"{'en': 'Oregon\n', 'cy': 'Oregon'}"
"{'en': 'Oregon\n', 'cy': 'Oregon'}"
"{'en': 'low', 'cy': 'rheswrap modetextattr'}"
"{'en': 'low\n', 'cy': 'rheswrap modetextattr'}"
"{'en': 'low\n', 'cy': 'rheswrap modetextattr'}"
"{'en': 'Investing', 'cy': 'Buddsoddi'}"
"{'en': 'Invest\n', 'cy': 'Buddsoddi'}"
"{'en': 'Invest\n', 'cy': 'Buddsoddi'}"
"{'en': 'Right', 'cy': ""Dod o' r Dde""}"
"{'en': 'From Right\n', 'cy': ""Dod o' r Dde""}"
"{'en': 'From Right\n', 'cy': ""Dod o' r Dde""}"
"{'en': 'Ardabil', 'cy': 'Ardabilبندر عباس'}"
"{'en': 'Ardabil\n', 'cy': 'Ardabilبندر عباس'}"
"{'en': 'Ardabil\n', 'cy': 'Ardabilبندر عباس'}"
"{'en': 'Preferred applications', 'cy': 'Rhaglenni Amgen'}"
"{'en': 'Preferred Applications\n', 'cy': 'Rhaglenni Amgen'}"
"{'en': 'Preferred Applications\n', 'cy': 'Rhaglenni Amgen'}"
"{'en': 'Turkey', 'cy': 'Tyrceg'}"
"{'en': 'Turkish\n', 'cy': 'Tyrceg'}"
"{'en': 'Turkish\n', 'cy': 'Tyrceg'}"
"{'en': 'Advanced Search', 'cy': 'Cyswllt ymlaen'}"
"{'en': 'Forward Search\n', 'cy': 'Cyswllt ymlaen'}"
"{'en': 'Forward Search\n', 'cy': 'Cyswllt ymlaen'}"
"{'en': 'Caroline', 'cy': 'Carolina'}"
"{'en': 'Carolina\n', 'cy': 'Carolina'}"
"{'en': 'Carolina\n', 'cy': 'Carolina'}"
"{'en': 'Bengali', 'cy': 'Bengaleg'}"
"{'en': 'Bengali\n', 'cy': 'Bengaleg'}"
"{'en': 'Bengali\n', 'cy': 'Bengaleg'}"
"{'en': 'Note', 'cy': 'Nodyn'}"
"{'en': 'Note\n', 'cy': 'Nodyn'}"
"{'en': 'Note\n', 'cy': 'Nodyn'}"
"{'en': 'Borden', 'cy': 'Borden'}"
"{'en': 'Borden\n', 'cy': 'Borden'}"
"{'en': 'Borden\n', 'cy': 'Borden'}"
"{'en': 'Recurrence', 'cy': 'Ail-ddigwyddiad'}"
"{'en': 'Recurrence\n', 'cy': 'Ail-ddigwyddiad'}"
"{'en': 'Recurrence\n', 'cy': 'Ail-ddigwyddiad'}"
"{'en': 'Snowy mountains', 'cy': 'Mynyddoedd EiraComment'}"
"{'en': 'Snowy Mountains\n', 'cy': 'Mynyddoedd EiraComment'}"
"{'en': 'Snowy Mountains\n', 'cy': 'Mynyddoedd EiraComment'}"
"{'en': 'Schedule component', 'cy': 'Ategyn CalendrComment'}"
"{'en': 'Calendar Component\n', 'cy': 'Ategyn CalendrComment'}"
"{'en': 'Calendar Component\n', 'cy': 'Ategyn CalendrComment'}"
"{'en': 'Iringa', 'cy': 'Iringa'}"
"{'en': 'Iringa\n', 'cy': 'Iringa'}"
"{'en': 'Iringa\n', 'cy': 'Iringa'}"
"{'en': 'Abū Mūsā', 'cy': 'آغاجاری'}"
"{'en': 'Abū Mūsā\n', 'cy': 'آغاجاری'}"
"{'en': 'Abū Mūsā\n', 'cy': 'آغاجاری'}"
"{'en': 'Bern', 'cy': 'BernGenevaGenève'}"
"{'en': 'Bern\n', 'cy': 'BernGenevaGenève'}"
"{'en': 'Bern\n', 'cy': 'BernGenevaGenève'}"
"{'en': 'Lower', 'cy': 'Isaf'}"
"{'en': 'Lower\n', 'cy': 'Isaf'}"
"{'en': 'Lower\n', 'cy': 'Isaf'}"
"{'en': 'Search for mirrors', 'cy': 'CyfieithyddComment'}"
"{'en': 'Mirror Search\n', 'cy': 'CyfieithyddComment'}"
"{'en': 'Mirror Search\n', 'cy': 'CyfieithyddComment'}"
"{'en': 'Chelyabinsk', 'cy': 'Chelyabinsk-BalandinoЧита'}"
"{'en': 'Chelyabinsk\n', 'cy': 'Chelyabinsk-BalandinoЧита'}"
"{'en': 'Chelyabinsk\n', 'cy': 'Chelyabinsk-BalandinoЧита'}"
"{'en': 'Kinshasa', 'cy': ""Kinshasa / N'Djili""}"
"{'en': 'Kinshasa\n', 'cy': ""Kinshasa / N'Djili""}"
"{'en': 'Kinshasa\n', 'cy': ""Kinshasa / N'Djili""}"
"{'en': 'Black', 'cy': 'Lliwiau:'}"
"{'en': 'Black\n', 'cy': 'Lliwiau:'}"
"{'en': 'Black\n', 'cy': 'Lliwiau:'}"
"{'en': 'ends with', 'cy': 'yn gorffen gyda'}"
"{'en': 'ends with\n', 'cy': 'yn gorffen gyda'}"
"{'en': 'ends with\n', 'cy': 'yn gorffen gyda'}"
"{'en': 'Previous Puzzle', 'cy': 'Pos _Blaenorol'}"
"{'en': 'Previous Puzzle\n', 'cy': 'Pos _Blaenorol'}"
"{'en': 'Previous Puzzle\n', 'cy': 'Pos _Blaenorol'}"
"{'en': 'Malawi', 'cy': 'Awstralia'}"
"{'en': 'Malawi\n', 'cy': 'Awstralia'}"
"{'en': 'Malawi\n', 'cy': 'Awstralia'}"
"{'en': 'Remove', 'cy': 'Tynnu'}"
"{'en': 'Remove\n', 'cy': 'Tynnu'}"
"{'en': 'Remove\n', 'cy': 'Tynnu'}"
"{'en': 'Oussaka', 'cy': 'Lwsacajapan. kgm'}"
"{'en': 'Osaka\n', 'cy': 'Lwsacajapan. kgm'}"
"{'en': 'Osaka\n', 'cy': 'Lwsacajapan. kgm'}"
"{'en': 'Santa Barbara', 'cy': 'Santa Barbara'}"
"{'en': 'Santa Barbara\n', 'cy': 'Santa Barbara'}"
"{'en': 'Santa Barbara\n', 'cy': 'Santa Barbara'}"
"{'en': 'Place of publication', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Publishing Location\n', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Publishing Location\n', 'cy': 'Lleoliad Cyhoeddi'}"
"{'en': 'Type of game', 'cy': 'Math Gêm'}"
"{'en': 'Game Type\n', 'cy': 'Math Gêm'}"
"{'en': 'Game Type\n', 'cy': 'Math Gêm'}"
"{'en': 'Very hard', 'cy': 'Anodd Iawn'}"
"{'en': 'Very hard\n', 'cy': 'Anodd Iawn'}"
"{'en': 'Very hard\n', 'cy': 'Anodd Iawn'}"
"{'en': 'Welkom', 'cy': 'Welkom'}"
"{'en': 'Welkom\n', 'cy': 'Welkom'}"
"{'en': 'Welkom\n', 'cy': 'Welkom'}"
"{'en': 'Player Names', 'cy': 'Enwau Chwaraewyr'}"
"{'en': 'Player Names\n', 'cy': 'Enwau Chwaraewyr'}"
"{'en': 'Player Names\n', 'cy': 'Enwau Chwaraewyr'}"
"{'en': 'Ukrainian', 'cy': 'WcranegHebrew, Visual'}"
"{'en': 'Ukrainian\n', 'cy': 'WcranegHebrew, Visual'}"
"{'en': 'Ukrainian\n', 'cy': 'WcranegHebrew, Visual'}"
"{'en': 'Tali', 'cy': 'Tali'}"
"{'en': 'Tali\n', 'cy': 'Tali'}"
"{'en': 'Tali\n', 'cy': 'Tali'}"
"{'en': 'Line Curator', 'cy': 'Rhes y Cyrchwr'}"
"{'en': 'Cursor Row\n', 'cy': 'Rhes y Cyrchwr'}"
"{'en': 'Cursor Row\n', 'cy': 'Rhes y Cyrchwr'}"
"{'en': 'Tacoma', 'cy': 'Tacoma'}"
"{'en': 'Tacoma\n', 'cy': 'Tacoma'}"
"{'en': 'Tacoma\n', 'cy': 'Tacoma'}"
"{'en': 'Free', 'cy': 'Yn Rhydd'}"
"{'en': 'Free\n', 'cy': 'Yn Rhydd'}"
"{'en': 'Free\n', 'cy': 'Yn Rhydd'}"
"{'en': 'Time in Brasilia', 'cy': 'Brasília'}"
"{'en': 'Brasília Time\n', 'cy': 'Brasília'}"
"{'en': 'Brasília Time\n', 'cy': 'Brasília'}"
"{'en': 'Mahanaim', 'cy': 'Gahanna'}"
"{'en': 'Mahanayim\n', 'cy': 'Gahanna'}"
"{'en': 'Mahanayim\n', 'cy': 'Gahanna'}"
"{'en': 'ADDRESS', 'cy': 'CYFEIRIAD'}"
"{'en': 'ADDRESS\n', 'cy': 'CYFEIRIAD'}"
"{'en': 'ADDRESS\n', 'cy': 'CYFEIRIAD'}"
"{'en': 'Meaning', 'cy': '& Rhestr'}"
"{'en': 'Meaning\n', 'cy': '& Rhestr'}"
"{'en': 'Meaning\n', 'cy': '& Rhestr'}"
"{'en': 'Dark violet', 'cy': 'PincPoethcolor'}"
"{'en': 'DarkViolet\n', 'cy': 'PincPoethcolor'}"
"{'en': 'DarkViolet\n', 'cy': 'PincPoethcolor'}"
"{'en': 'Celtic', 'cy': 'Celtaidd'}"
"{'en': 'Celtic\n', 'cy': 'Celtaidd'}"
"{'en': 'Celtic\n', 'cy': 'Celtaidd'}"
"{'en': 'Cap Dorset', 'cy': 'Cape Dorset'}"
"{'en': 'Cape Dorset\n', 'cy': 'Cape Dorset'}"
"{'en': 'Cape Dorset\n', 'cy': 'Cape Dorset'}"
"{'en': 'End of the East', 'cy': 'Oostende'}"
"{'en': 'Eastend\n', 'cy': 'Oostende'}"
"{'en': 'Eastend\n', 'cy': 'Oostende'}"
"{'en': 'Completed', 'cy': 'Cyflawn'}"
"{'en': 'Complete\n', 'cy': 'Cyflawn'}"
"{'en': 'Complete\n', 'cy': 'Cyflawn'}"
"{'en': 'Offline not available', 'cy': 'SSL ddim ar gael'}"
"{'en': 'Offline unavailable\n', 'cy': 'SSL ddim ar gael'}"
"{'en': 'Offline unavailable\n', 'cy': 'SSL ddim ar gael'}"
"{'en': 'Hassi Messioud', 'cy': 'La MesaCity name (optional, probably does not need a translation)'}"
"{'en': 'Hassi Messaoud\n', 'cy': 'La MesaCity name (optional, probably does not need a translation)'}"
"{'en': 'Hassi Messaoud\n', 'cy': 'La MesaCity name (optional, probably does not need a translation)'}"
"{'en': 'Theses', 'cy': 'Thisted'}"
"{'en': 'Thisted\n', 'cy': 'Thisted'}"
"{'en': 'Thisted\n', 'cy': 'Thisted'}"
"{'en': 'Image Practice', 'cy': 'Erthygl'}"
"{'en': 'Image Practice\n', 'cy': 'Erthygl'}"
"{'en': 'Image Practice\n', 'cy': 'Erthygl'}"
"{'en': 'Elkhart', 'cy': 'Elkhart'}"
"{'en': 'Elkhart\n', 'cy': 'Elkhart'}"
"{'en': 'Elkhart\n', 'cy': 'Elkhart'}"
"{'en': 'Call-back phone', 'cy': 'Ffôn Galw yn Ôl'}"
"{'en': 'Callback Phone\n', 'cy': 'Ffôn Galw yn Ôl'}"
"{'en': 'Callback Phone\n', 'cy': 'Ffôn Galw yn Ôl'}"
"{'en': 'Available', 'cy': 'Analluogwyd'}"
"{'en': 'Available\n', 'cy': 'Analluogwyd'}"
"{'en': 'Available\n', 'cy': 'Analluogwyd'}"
"{'en': 'Time format', 'cy': 'Fformat amser'}"
"{'en': 'Time Format\n', 'cy': 'Fformat amser'}"
"{'en': 'Time Format\n', 'cy': 'Fformat amser'}"
"{'en': 'Power manager', 'cy': 'Cynhalwyr Blaenorol:'}"
"{'en': 'Power Manager\n', 'cy': 'Cynhalwyr Blaenorol:'}"
"{'en': 'Power Manager\n', 'cy': 'Cynhalwyr Blaenorol:'}"
"{'en': 'Poltava', 'cy': 'PadovaCity name (optional, probably does not need a translation)'}"
"{'en': 'Poltava\n', 'cy': 'PadovaCity name (optional, probably does not need a translation)'}"
"{'en': 'Poltava\n', 'cy': 'PadovaCity name (optional, probably does not need a translation)'}"
"{'en': 'Perceptual', 'cy': '& Canran & # 160;:'}"
"{'en': 'Perceptual\n', 'cy': '& Canran & # 160;:'}"
"{'en': 'Perceptual\n', 'cy': '& Canran & # 160;:'}"
"{'en': 'Nice.', 'cy': 'Neis'}"
"{'en': 'Nice\n', 'cy': 'Neis'}"
"{'en': 'Nice\n', 'cy': 'Neis'}"
"{'en': 'Meridian', 'cy': 'Meridian'}"
"{'en': 'Meridian\n', 'cy': 'Meridian'}"
"{'en': 'Meridian\n', 'cy': 'Meridian'}"
"{'en': 'Monitor preferences', 'cy': 'Hoffterau Ffont'}"
"{'en': 'Monitor Preferences\n', 'cy': 'Hoffterau Ffont'}"
"{'en': 'Monitor Preferences\n', 'cy': 'Hoffterau Ffont'}"
"{'en': 'Satu Mare', 'cy': 'Satu Mare'}"
"{'en': 'Satu Mare\n', 'cy': 'Satu Mare'}"
"{'en': 'Satu Mare\n', 'cy': 'Satu Mare'}"
"{'en': 'Low priority', 'cy': '(Blaenoriaeth Isel)'}"
"{'en': 'Low Priority\n', 'cy': '(Blaenoriaeth Isel)'}"
"{'en': 'Low Priority\n', 'cy': '(Blaenoriaeth Isel)'}"
"{'en': 'Annapolis', 'cy': 'Annapolis'}"
"{'en': 'Annapolis\n', 'cy': 'Annapolis'}"
"{'en': 'Annapolis\n', 'cy': 'Annapolis'}"
"{'en': 'Kuopio', 'cy': 'Kuopio'}"
"{'en': 'Kuopio\n', 'cy': 'Kuopio'}"
"{'en': 'Kuopio\n', 'cy': 'Kuopio'}"
"{'en': 'Tsholotsho', 'cy': 'southamerica. kgm'}"
"{'en': 'Tsholotsho\n', 'cy': 'southamerica. kgm'}"
"{'en': 'Tsholotsho\n', 'cy': 'southamerica. kgm'}"
"{'en': 'Port Louis', 'cy': 'Polandafrica. kgm'}"
"{'en': 'Port Louis\n', 'cy': 'Polandafrica. kgm'}"
"{'en': 'Port Louis\n', 'cy': 'Polandafrica. kgm'}"
"{'en': 'Piedras Negras', 'cy': 'Piedras NegrasPoza Rica'}"
"{'en': 'Piedras Negras\n', 'cy': 'Piedras NegrasPoza Rica'}"
"{'en': 'Piedras Negras\n', 'cy': 'Piedras NegrasPoza Rica'}"
"{'en': 'Shared memory', 'cy': 'Cof Wedi ei Rannu'}"
"{'en': 'Shared Memory\n', 'cy': 'Cof Wedi ei Rannu'}"
"{'en': 'Shared Memory\n', 'cy': 'Cof Wedi ei Rannu'}"
"{'en': 'Banjul', 'cy': 'BanjulCity name (optional, probably does not need a translation)'}"
"{'en': 'Banjul\n', 'cy': 'BanjulCity name (optional, probably does not need a translation)'}"
"{'en': 'Banjul\n', 'cy': 'BanjulCity name (optional, probably does not need a translation)'}"
"{'en': 'Mr. Narvik (United Kingdom of Great Britain and Northern Ireland)', 'cy': 'Narvik'}"
"{'en': 'Narvik\n', 'cy': 'Narvik'}"
"{'en': 'Narvik\n', 'cy': 'Narvik'}"
"{'en': 'Spelling control', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Spellcheck\n', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Spellcheck\n', 'cy': 'Gwirio Sillafu'}"
"{'en': 'Paris', 'cy': 'Parisworld. kgm'}"
"{'en': 'Paris\n', 'cy': 'Parisworld. kgm'}"
"{'en': 'Paris\n', 'cy': 'Parisworld. kgm'}"
"{'en': 'The hill of the Chapelle', 'cy': 'Chapel Hill'}"
"{'en': 'Chapel Hill\n', 'cy': 'Chapel Hill'}"
"{'en': 'Chapel Hill\n', 'cy': 'Chapel Hill'}"
"{'en': 'Houghton Lake', 'cy': 'Houghton Lake'}"
"{'en': 'Houghton Lake\n', 'cy': 'Houghton Lake'}"
"{'en': 'Houghton Lake\n', 'cy': 'Houghton Lake'}"
"{'en': 'Canada Mortgage and Housing Corporation', 'cy': 'McGillCity name (optional, probably does not need a translation)'}"
"{'en': 'McGill\n', 'cy': 'McGillCity name (optional, probably does not need a translation)'}"
"{'en': 'McGill\n', 'cy': 'McGillCity name (optional, probably does not need a translation)'}"
"{'en': 'Compatibility CJK', 'cy': 'Cyfaddaster CJK'}"
"{'en': 'CJK Compatibility\n', 'cy': 'Cyfaddaster CJK'}"
"{'en': 'CJK Compatibility\n', 'cy': 'Cyfaddaster CJK'}"
"{'en': 'Absolute value', 'cy': 'Gwerth diamod [u]'}"
"{'en': 'Absolute Value\n', 'cy': 'Gwerth diamod [u]'}"
"{'en': 'Absolute Value\n', 'cy': 'Gwerth diamod [u]'}"
"{'en': 'Special paste', 'cy': 'Gludo Arbennig'}"
"{'en': 'Special Paste\n', 'cy': 'Gludo Arbennig'}"
"{'en': 'Special Paste\n', 'cy': 'Gludo Arbennig'}"
"{'en': 'onswitch', 'cy': 'C_rebachuonswitch'}"
"{'en': 'onswitch\n', 'cy': 'C_rebachuonswitch'}"
"{'en': 'onswitch\n', 'cy': 'C_rebachuonswitch'}"
"{'en': 'Sacramento', 'cy': 'Sacramento'}"
"{'en': 'Sacramento\n', 'cy': 'Sacramento'}"
"{'en': 'Sacramento\n', 'cy': 'Sacramento'}"
"{'en': 'French', 'cy': 'Ffrancwr'}"
"{'en': 'French\n', 'cy': 'Ffrancwr'}"
"{'en': 'French\n', 'cy': 'Ffrancwr'}"
"{'en': 'Connect to', 'cy': '& Disgrifiad:'}"
"{'en': 'Connect to\n', 'cy': '& Disgrifiad:'}"
"{'en': 'Connect to\n', 'cy': '& Disgrifiad:'}"
"{'en': 'Print header', 'cy': 'Argraffu Pennawd'}"
"{'en': 'Print Header\n', 'cy': 'Argraffu Pennawd'}"
"{'en': 'Print Header\n', 'cy': 'Argraffu Pennawd'}"
"{'en': 'San Fernando', 'cy': 'San Fernando'}"
"{'en': 'San Fernando\n', 'cy': 'San Fernando'}"
"{'en': 'San Fernando\n', 'cy': 'San Fernando'}"
"{'en': 'Width', 'cy': 'Lled'}"
"{'en': 'Width\n', 'cy': 'Lled'}"
"{'en': 'Width\n', 'cy': 'Lled'}"
"{'en': 'Bangkok', 'cy': 'Bangkok'}"
"{'en': 'Bangkok\n', 'cy': 'Bangkok'}"
"{'en': 'Bangkok\n', 'cy': 'Bangkok'}"
"{'en': 'Merge Emails', 'cy': 'Fformat y fro'}"
"{'en': 'Mail Merge\n', 'cy': 'Fformat y fro'}"
"{'en': 'Mail Merge\n', 'cy': 'Fformat y fro'}"
"{'en': 'Söderhamn', 'cy': 'Söderhamn'}"
"{'en': 'Söderhamn\n', 'cy': 'Söderhamn'}"
"{'en': 'Söderhamn\n', 'cy': 'Söderhamn'}"
"{'en': 'Braunschweig', 'cy': 'Braunschweig'}"
"{'en': 'Braunschweig\n', 'cy': 'Braunschweig'}"
"{'en': 'Braunschweig\n', 'cy': 'Braunschweig'}"
"{'en': 'Overview', 'cy': 'Rhagolwg'}"
"{'en': 'Preview\n', 'cy': 'Rhagolwg'}"
"{'en': 'Preview\n', 'cy': 'Rhagolwg'}"
"{'en': 'Manual', 'cy': 'Â Llaw'}"
"{'en': 'Manually\n', 'cy': 'Â Llaw'}"
"{'en': 'Manually\n', 'cy': 'Â Llaw'}"
"{'en': 'Sitka', 'cy': 'SitkaCity name (optional, probably does not need a translation)'}"
"{'en': 'Sitka\n', 'cy': 'SitkaCity name (optional, probably does not need a translation)'}"
"{'en': 'Sitka\n', 'cy': 'SitkaCity name (optional, probably does not need a translation)'}"
"{'en': 'Cook', 'cy': 'Cook'}"
"{'en': 'Cook\n', 'cy': 'Cook'}"
"{'en': 'Cook\n', 'cy': 'Cook'}"
"{'en': 'Jom', 'cy': 'JomShanbe short'}"
"{'en': 'Jom\n', 'cy': 'JomShanbe short'}"
"{'en': 'Jom\n', 'cy': 'JomShanbe short'}"
"{'en': 'Glacier Vatnajökull', 'cy': 'iceland_ regions. kgm'}"
"{'en': 'Vatnajökull Glacier\n', 'cy': 'iceland_ regions. kgm'}"
"{'en': 'Vatnajökull Glacier\n', 'cy': 'iceland_ regions. kgm'}"
"{'en': 'Salalah', 'cy': 'Salalah'}"
"{'en': 'Salalah\n', 'cy': 'Salalah'}"
"{'en': 'Salalah\n', 'cy': 'Salalah'}"
"{'en': 'Aid', 'cy': 'CymorthQAccel'}"
"{'en': 'Help\n', 'cy': 'CymorthQAccel'}"
"{'en': 'Help\n', 'cy': 'CymorthQAccel'}"
"{'en': 'City of Bay', 'cy': 'Bay City'}"
"{'en': 'Bay City\n', 'cy': 'Bay City'}"
"{'en': 'Bay City\n', 'cy': 'Bay City'}"
"{'en': 'Hamburg', 'cy': 'Hamburg'}"
"{'en': 'Hamburg\n', 'cy': 'Hamburg'}"
"{'en': 'Hamburg\n', 'cy': 'Hamburg'}"
"{'en': 'Select All', 'cy': 'Dewis Popeth'}"
"{'en': 'Select All\n', 'cy': 'Dewis Popeth'}"
"{'en': 'Select All\n', 'cy': 'Dewis Popeth'}"
"{'en': 'Mostar', 'cy': 'Mostar'}"
"{'en': 'Mostar\n', 'cy': 'Mostar'}"
"{'en': 'Mostar\n', 'cy': 'Mostar'}"
"{'en': 'Done', 'cy': 'Wedi gorffen'}"
"{'en': 'Done\n', 'cy': 'Wedi gorffen'}"
"{'en': 'Done\n', 'cy': 'Wedi gorffen'}"
"{'en': 'Ouch', 'cy': 'Auch'}"
"{'en': 'Auch\n', 'cy': 'Auch'}"
"{'en': 'Auch\n', 'cy': 'Auch'}"
"{'en': 'Substantial', 'cy': 'Llinell a ychwanegwyd'}"
"{'en': 'Underlined\n', 'cy': 'Llinell a ychwanegwyd'}"
"{'en': 'Underlined\n', 'cy': 'Llinell a ychwanegwyd'}"
"{'en': 'Change', 'cy': 'Oren'}"
"{'en': 'Change\n', 'cy': 'Oren'}"
"{'en': 'Change\n', 'cy': 'Oren'}"
"{'en': 'Traditional Chinese', 'cy': 'Tsieinëeg Draddodiadol'}"
"{'en': 'Chinese Traditional\n', 'cy': 'Tsieinëeg Draddodiadol'}"
"{'en': 'Chinese Traditional\n', 'cy': 'Tsieinëeg Draddodiadol'}"
"{'en': 'two', 'cy': 'dau'}"
"{'en': 'two\n', 'cy': 'dau'}"
"{'en': 'two\n', 'cy': 'dau'}"
"{'en': 'Continue', 'cy': 'Parhau'}"
"{'en': 'Continue\n', 'cy': 'Parhau'}"
"{'en': 'Continue\n', 'cy': 'Parhau'}"
"{'en': 'British Columbia', 'cy': 'British ColumbiaRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'British Columbia\n', 'cy': 'British ColumbiaRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'British Columbia\n', 'cy': 'British ColumbiaRegion/ state name (optional, rarely needs a translation)'}"
"{'en': 'Hattiesburg', 'cy': 'Hattiesburg'}"
"{'en': 'Hattiesburg\n', 'cy': 'Hattiesburg'}"
"{'en': 'Hattiesburg\n', 'cy': 'Hattiesburg'}"
"{'en': 'Subscribe', 'cy': 'Wedi Tanysgrifio'}"
"{'en': 'Subscribed\n', 'cy': 'Wedi Tanysgrifio'}"
"{'en': 'Subscribed\n', 'cy': 'Wedi Tanysgrifio'}"
"{'en': 'Hyperlink', 'cy': 'Uwchgyswllt'}"
"{'en': 'Hyperlink\n', 'cy': 'Uwchgyswllt'}"
"{'en': 'Hyperlink\n', 'cy': 'Uwchgyswllt'}"
"{'en': 'Busy', 'cy': 'Prysur'}"
"{'en': 'Busy\n', 'cy': 'Prysur'}"
"{'en': 'Busy\n', 'cy': 'Prysur'}"
"{'en': 'Russian Cyrillic', 'cy': 'Rwsieg Cyrilig'}"
"{'en': 'Russian Cyrillic\n', 'cy': 'Rwsieg Cyrilig'}"
"{'en': 'Russian Cyrillic\n', 'cy': 'Rwsieg Cyrilig'}"
"{'en': 'Maranhão', 'cy': 'Marathon'}"
"{'en': 'Maranhão\n', 'cy': 'Marathon'}"
"{'en': 'Maranhão\n', 'cy': 'Marathon'}"
"{'en': 'Next Puzzle', 'cy': 'Pos _Nesaf'}"
"{'en': 'Next Puzzle\n', 'cy': 'Pos _Nesaf'}"
"{'en': 'Next Puzzle\n', 'cy': 'Pos _Nesaf'}"
"{'en': 'South Dakota', 'cy': 'South Dakota'}"
"{'en': 'South Dakota\n', 'cy': 'South Dakota'}"
"{'en': 'South Dakota\n', 'cy': 'South Dakota'}"
"{'en': 'Tacoma', 'cy': 'Tacoma'}"
"{'en': 'Tacoma\n', 'cy': 'Tacoma'}"
