translation
"{'ro': '♪ ♪', 'en': ', ♪ ♪'}"
"{'ro': '♪ ♪', 'en': '♪ ♪'}"
"{'ro': 'OK.', 'en': 'OK.'}"
"{'ro': 'Ria!', 'en': ': Ria!'}"
"{'ro': 'Ria!', 'en': 'Ria!'}"
"{'ro': 'Acum?', 'en': ', Now?'}"
"{'ro': 'Acum?', 'en': 'Now?'}"
"{'ro': 'Mişcarea.', 'en': '. Move.'}"
"{'ro': 'Mişcarea.', 'en': 'Move.'}"
"{'ro': 'Sigur.', 'en': '; Right.'}"
"{'ro': 'Sigur.', 'en': 'Right.'}"
"{'ro': '- Surprinzător.', 'en': '. Surprisingly.'}"
"{'ro': '- Surprinzător.', 'en': 'Surprisingly.'}"
"{'ro': 'Să-mi cer scuze?', 'en': ', Apologize?'}"
"{'ro': 'Să-mi cer scuze?', 'en': 'Apologize?'}"
"{'ro': 'Nu.', 'en': '? No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Simte-te ca acasă', 'en': ', Relax.'}"
"{'ro': 'Simte-te ca acasă', 'en': 'Relax.'}"
"{'ro': 'Poate.', 'en': '. Maybe.'}"
"{'ro': 'Poate.', 'en': 'Maybe.'}"
"{'ro': 'Bine.', 'en': '? Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Bine.', 'en': '! Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Alo.', 'en': '? Yellow.'}"
"{'ro': 'Alo.', 'en': 'Yellow.'}"
"{'ro': 'Nu !', 'en': ', No!'}"
"{'ro': 'Nu !', 'en': 'No!'}"
"{'ro': 'La Dracu !', 'en': ', Fuck!'}"
"{'ro': 'La Dracu !', 'en': 'Fuck!'}"
"{'ro': 'Sunt pe drum.', 'en': '? Look...'}"
"{'ro': 'Sunt pe drum.', 'en': 'Look...'}"
"{'ro': 'Unde sau dus? Nu, nu cu harta.', 'en': ', Hey!'}"
"{'ro': 'Unde sau dus? Nu, nu cu harta.', 'en': 'Hey!'}"
"{'ro': 'Eu...', 'en': ', I...'}"
"{'ro': 'Eu...', 'en': 'I...'}"
"{'ro': 'Oricând.', 'en': '; Anytime.'}"
"{'ro': 'Oricând.', 'en': 'Anytime.'}"
"{'ro': 'Fred.', 'en': '! Fred.'}"
"{'ro': 'Fred.', 'en': 'Fred.'}"
"{'ro': 'Mort.', 'en': ': Dead.'}"
"{'ro': 'Mort.', 'en': 'Dead.'}"
"{'ro': 'Da?', 'en': '. Yes?'}"
"{'ro': 'Da?', 'en': 'Yes?'}"
"{'ro': 'Ham!', 'en': '! Woof.'}"
"{'ro': 'Ham!', 'en': 'Woof.'}"
"{'ro': 'Sophie?', 'en': '? Sophie?'}"
"{'ro': 'Sophie?', 'en': 'Sophie?'}"
"{'ro': 'Drop Out (3:12)', 'en': '. Enjoy (3:00)'}"
"{'ro': 'Drop Out (3:12)', 'en': 'Enjoy (3:00)'}"
"{'ro': 'Hei !', 'en': '! Hey.'}"
"{'ro': 'Hei !', 'en': 'Hey.'}"
"{'ro': '- Bună !', 'en': '. Hi.'}"
"{'ro': '- Bună !', 'en': 'Hi.'}"
"{'ro': 'Bine.', 'en': '! Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Alo?', 'en': '. Hello.'}"
"{'ro': 'Alo?', 'en': 'Hello.'}"
"{'ro': 'Regreti?', 'en': '. Sorry?'}"
"{'ro': 'Regreti?', 'en': 'Sorry?'}"
"{'ro': 'Tată, vino aici!', 'en': '; Dad!'}"
"{'ro': 'Tată, vino aici!', 'en': 'Dad!'}"
"{'ro': 'Gheaţă.', 'en': ', Ice.'}"
"{'ro': 'Gheaţă.', 'en': 'Ice.'}"
"{'ro': 'Henry?', 'en': '; Henry...'}"
"{'ro': 'Henry?', 'en': 'Henry...'}"
"{'ro': 'Pai...', 'en': '; Well...'}"
"{'ro': 'Pai...', 'en': 'Well...'}"
"{'ro': 'Unde ?', 'en': '! WHERE?'}"
"{'ro': 'Unde ?', 'en': 'WHERE?'}"
"{'ro': 'Cooper.', 'en': '! Cooper.'}"
"{'ro': 'Cooper.', 'en': 'Cooper.'}"
"{'ro': 'Toby!', 'en': ', Toby!'}"
"{'ro': 'Toby!', 'en': 'Toby!'}"
"{'ro': 'Sigur.', 'en': ': Sure.'}"
"{'ro': 'Sigur.', 'en': 'Sure.'}"
"{'ro': 'Da?', 'en': ', Yeah?'}"
"{'ro': 'Da?', 'en': 'Yeah?'}"
"{'ro': 'Exact.', 'en': '; Exactly.'}"
"{'ro': 'Exact.', 'en': 'Exactly.'}"
"{'ro': 'Uite.', 'en': '! Look.'}"
"{'ro': 'Uite.', 'en': 'Look.'}"
"{'ro': 'Bine.', 'en': '. Good.'}"
"{'ro': 'Bine.', 'en': 'Good.'}"
"{'ro': 'Nu, nu.', 'en': '. No.'}"
"{'ro': 'Nu, nu.', 'en': 'No.'}"
"{'ro': '- Mycroft.', 'en': '. Mycroft.'}"
"{'ro': '- Mycroft.', 'en': 'Mycroft.'}"
"{'ro': 'Da.', 'en': '? Sí.'}"
"{'ro': 'Da.', 'en': 'Sí.'}"
"{'ro': 'Lilo!', 'en': '. Lilo!'}"
"{'ro': 'Lilo!', 'en': 'Lilo!'}"
"{'ro': 'Cum vrei.', 'en': ', Whatever.'}"
"{'ro': 'Cum vrei.', 'en': 'Whatever.'}"
"{'ro': '- John?', 'en': '. John?'}"
"{'ro': '- John?', 'en': 'John?'}"
"{'ro': 'Hei,tu!', 'en': ', You!'}"
"{'ro': 'Hei,tu!', 'en': 'You!'}"
"{'ro': 'Bine. Şi...', 'en': ', Okay.'}"
"{'ro': 'Bine. Şi...', 'en': 'Okay.'}"
"{'ro': 'Bun venit!', 'en': '? Welcome.'}"
"{'ro': 'Bun venit!', 'en': 'Welcome.'}"
"{'ro': 'Bine.', 'en': '. Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Când zidurile erau acoperite în bronz.', 'en': '? Oh!'}"
"{'ro': 'Când zidurile erau acoperite în bronz.', 'en': 'Oh!'}"
"{'ro': 'Da?', 'en': '? Yeah?'}"
"{'ro': 'Da?', 'en': 'Yeah?'}"
"{'ro': 'Sabbione?', 'en': '! Sabbione?'}"
"{'ro': 'Sabbione?', 'en': 'Sabbione?'}"
"{'ro': 'Mika !', 'en': '; Mika!'}"
"{'ro': 'Mika !', 'en': 'Mika!'}"
"{'ro': 'Nu.', 'en': ', No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Perfect !', 'en': '? Bingo!'}"
"{'ro': 'Perfect !', 'en': 'Bingo!'}"
"{'ro': 'Dumnezeule! Se trezeşte!', 'en': '? Gosh?'}"
"{'ro': 'Dumnezeule! Se trezeşte!', 'en': 'Gosh?'}"
"{'ro': 'Oh.', 'en': '; Oh.'}"
"{'ro': 'Oh.', 'en': 'Oh.'}"
"{'ro': 'Cu siguranţă.', 'en': '? Definitely.'}"
"{'ro': 'Cu siguranţă.', 'en': 'Definitely.'}"
"{'ro': 'Lee.', 'en': ', Lee.'}"
"{'ro': 'Lee.', 'en': 'Lee.'}"
"{'ro': 'Subsol.', 'en': ': Basement.'}"
"{'ro': 'Subsol.', 'en': 'Basement.'}"
"{'ro': 'Shunsaku!', 'en': '; Shunsaku!'}"
"{'ro': 'Shunsaku!', 'en': 'Shunsaku!'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': '- Aja.', 'en': '! Aja.'}"
"{'ro': '- Aja.', 'en': 'Aja.'}"
"{'ro': 'Aşteaptă!', 'en': ', Wait!'}"
"{'ro': 'Aşteaptă!', 'en': 'Wait!'}"
"{'ro': 'Chelsea...', 'en': '? Chelsea...'}"
"{'ro': 'Chelsea...', 'en': 'Chelsea...'}"
"{'ro': 'Nu.', 'en': '; No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Doamne.', 'en': '! God.'}"
"{'ro': 'Doamne.', 'en': 'God.'}"
"{'ro': 'La revedere.', 'en': '; Goodbye.'}"
"{'ro': 'La revedere.', 'en': 'Goodbye.'}"
"{'ro': 'Singur ?', 'en': '; Alone?'}"
"{'ro': 'Singur ?', 'en': 'Alone?'}"
"{'ro': 'Mamă.', 'en': '! Fuck.'}"
"{'ro': 'Mamă.', 'en': 'Fuck.'}"
"{'ro': 'Charlie?', 'en': ': Charlie?'}"
"{'ro': 'Charlie?', 'en': 'Charlie?'}"
"{'ro': 'Bine.', 'en': ', OK.'}"
"{'ro': 'Bine.', 'en': 'OK.'}"
"{'ro': 'Liber.', 'en': ': Clear.'}"
"{'ro': 'Liber.', 'en': 'Clear.'}"
"{'ro': 'Bună.', 'en': '? Hey.'}"
"{'ro': 'Bună.', 'en': 'Hey.'}"
"{'ro': 'Luis ?', 'en': '. Luis?'}"
"{'ro': 'Luis ?', 'en': 'Luis?'}"
"{'ro': '- Da?', 'en': '. Sir?'}"
"{'ro': '- Da?', 'en': 'Sir?'}"
"{'ro': '- Cheiul...', 'en': '; Waterfront.'}"
"{'ro': '- Cheiul...', 'en': 'Waterfront.'}"
"{'ro': 'Ralph!', 'en': '. Ralph!'}"
"{'ro': 'Ralph!', 'en': 'Ralph!'}"
"{'ro': 'Deja?', 'en': '; Already?'}"
"{'ro': 'Deja?', 'en': 'Already?'}"
"{'ro': 'Nu', 'en': ': No.'}"
"{'ro': 'Nu', 'en': 'No.'}"
"{'ro': 'Bine.', 'en': '; Good.'}"
"{'ro': 'Bine.', 'en': 'Good.'}"
"{'ro': 'Uită-te!', 'en': ': Look!'}"
"{'ro': 'Uită-te!', 'en': 'Look!'}"
"{'ro': '- Stai, stai, stai.', 'en': ': WHERE?'}"
"{'ro': '- Stai, stai, stai.', 'en': 'WHERE?'}"
"{'ro': 'Nu.', 'en': '; No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'hai.', 'en': '. Come.'}"
"{'ro': 'hai.', 'en': 'Come.'}"
"{'ro': '- Nu. Bine.', 'en': '; Right.'}"
"{'ro': '- Nu. Bine.', 'en': 'Right.'}"
"{'ro': 'Bea.', 'en': '? Drink.'}"
"{'ro': 'Bea.', 'en': 'Drink.'}"
"{'ro': 'Nu. Nu?', 'en': ', No.'}"
"{'ro': 'Nu. Nu?', 'en': 'No.'}"
"{'ro': '- Bună dimineaţa.', 'en': '; What?'}"
"{'ro': '- Bună dimineaţa.', 'en': 'What?'}"
"{'ro': 'Ei bine ... [oftează]', 'en': 'Well... ? [sighs]'}"
"{'ro': 'Ei bine ... [oftează]', 'en': 'Well... [sighs]'}"
"{'ro': 'Nu.', 'en': '! No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Bine aţi venit.', 'en': '; Welcome.'}"
"{'ro': 'Bine aţi venit.', 'en': 'Welcome.'}"
"{'ro': 'Hai !', 'en': ': Speak.'}"
"{'ro': 'Hai !', 'en': 'Speak.'}"
"{'ro': '- Stern!', 'en': '! Stern!'}"
"{'ro': '- Stern!', 'en': 'Stern!'}"
"{'ro': 'Exact.', 'en': '? Exactly.'}"
"{'ro': 'Exact.', 'en': 'Exactly.'}"
"{'ro': 'Sarah...', 'en': '! Sarah...'}"
"{'ro': 'Sarah...', 'en': 'Sarah...'}"
"{'ro': '-Tu?', 'en': '! You?'}"
"{'ro': '-Tu?', 'en': 'You?'}"
"{'ro': 'Nu. Aşteaptă aici.', 'en': 'No, ! wait'}"
"{'ro': 'Nu. Aşteaptă aici.', 'en': 'No, wait'}"
"{'ro': 'Harry !', 'en': ', Harry!'}"
"{'ro': 'Harry !', 'en': 'Harry!'}"
"{'ro': 'Nu!', 'en': ': No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': '2009 (2) 2008 (3)', 'en': 'FLANGED . (3)'}"
"{'ro': '2009 (2) 2008 (3)', 'en': 'FLANGED (3)'}"
"{'ro': 'Nu!', 'en': '. No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Vezi?', 'en': ', See?'}"
"{'ro': 'Vezi?', 'en': 'See?'}"
"{'ro': 'Să baţi la uşă.', 'en': '; Knocking.'}"
"{'ro': 'Să baţi la uşă.', 'en': 'Knocking.'}"
"{'ro': 'D-zeule.', 'en': '? God.'}"
"{'ro': 'D-zeule.', 'en': 'God.'}"
"{'ro': 'Bună.', 'en': '! Good.'}"
"{'ro': 'Bună.', 'en': 'Good.'}"
"{'ro': 'Bine.', 'en': '; Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Blackjack!', 'en': '; Blackjack.'}"
"{'ro': 'Blackjack!', 'en': 'Blackjack.'}"
"{'ro': 'Trei.', 'en': '; Three.'}"
"{'ro': 'Trei.', 'en': 'Three.'}"
"{'ro': 'Nu.', 'en': '? No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Desigur.', 'en': ', Sure.'}"
"{'ro': 'Desigur.', 'en': 'Sure.'}"
"{'ro': 'Joe!', 'en': '; Joe.'}"
"{'ro': 'Joe!', 'en': 'Joe.'}"
"{'ro': 'Hei', 'en': ': Hey.'}"
"{'ro': 'Hei', 'en': 'Hey.'}"
"{'ro': 'Ben.', 'en': '. Ben.'}"
"{'ro': 'Ben.', 'en': 'Ben.'}"
"{'ro': 'Aştepta-ţi.', 'en': '! Wait.'}"
"{'ro': 'Aştepta-ţi.', 'en': 'Wait.'}"
"{'ro': 'Da!', 'en': ', Yes!'}"
"{'ro': 'Da!', 'en': 'Yes!'}"
"{'ro': 'Ivan!', 'en': ', Ivan!'}"
"{'ro': 'Ivan!', 'en': 'Ivan!'}"
"{'ro': ""D'Artagnan."", 'en': "". D'Artagnan.""}"
"{'ro': ""D'Artagnan."", 'en': ""D'Artagnan.""}"
"{'ro': 'Sunteţi nedrept.', 'en': '? Unfair.'}"
"{'ro': 'Sunteţi nedrept.', 'en': 'Unfair.'}"
"{'ro': 'O..', 'en': ', Oh...'}"
"{'ro': 'O..', 'en': 'Oh...'}"
"{'ro': 'Doi...', 'en': '? Natalie.'}"
"{'ro': 'Doi...', 'en': 'Natalie.'}"
"{'ro': 'Eu !', 'en': ': Me!'}"
"{'ro': 'Eu !', 'en': 'Me!'}"
"{'ro': 'Pentru ca...', 'en': '. Because...'}"
"{'ro': 'Pentru ca...', 'en': 'Because...'}"
"{'ro': 'Nu!', 'en': '! No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Tată !', 'en': '; Dad!'}"
"{'ro': 'Tată !', 'en': 'Dad!'}"
"{'ro': 'Te rog!', 'en': '! Please!'}"
"{'ro': 'Te rog!', 'en': 'Please!'}"
"{'ro': 'Ce ?', 'en': '! What?'}"
"{'ro': 'Ce ?', 'en': 'What?'}"
"{'ro': 'Scuze.', 'en': ': Sorry.'}"
"{'ro': 'Scuze.', 'en': 'Sorry.'}"
"{'ro': 'Mănânc...', 'en': '? Please.'}"
"{'ro': 'Mănânc...', 'en': 'Please.'}"
"{'ro': 'Stai.', 'en': '. Wait.'}"
"{'ro': 'Stai.', 'en': 'Wait.'}"
"{'ro': 'Oh.', 'en': '! Oh.'}"
"{'ro': 'Oh.', 'en': 'Oh.'}"
"{'ro': 'Bine.', 'en': '? Good.'}"
"{'ro': 'Bine.', 'en': 'Good.'}"
"{'ro': '- Nimeni.', 'en': '! Nobody.'}"
"{'ro': '- Nimeni.', 'en': 'Nobody.'}"
"{'ro': 'Bine.', 'en': '! Good.'}"
"{'ro': 'Bine.', 'en': 'Good.'}"
"{'ro': 'Corect...', 'en': '? Right...'}"
"{'ro': 'Corect...', 'en': 'Right...'}"
"{'ro': 'Da!', 'en': '! Yes!'}"
"{'ro': 'Da!', 'en': 'Yes!'}"
"{'ro': 'Adevărat.', 'en': '! Truly.'}"
"{'ro': 'Adevărat.', 'en': 'Truly.'}"
"{'ro': 'Si?', 'en': '. And?'}"
"{'ro': 'Si?', 'en': 'And?'}"
"{'ro': 'Ce.', 'en': '. How.'}"
"{'ro': 'Ce.', 'en': 'How.'}"
"{'ro': 'Corect.', 'en': '? Correct.'}"
"{'ro': 'Corect.', 'en': 'Correct.'}"
"{'ro': 'Ei bine ...', 'en': '? Well...'}"
"{'ro': 'Ei bine ...', 'en': 'Well...'}"
"{'ro': 'Da.', 'en': '. Yep.'}"
"{'ro': 'Da.', 'en': 'Yep.'}"
"{'ro': 'E ziuă.', 'en': '. Daytime.'}"
"{'ro': 'E ziuă.', 'en': 'Daytime.'}"
"{'ro': 'Lita !', 'en': '. Lita!'}"
"{'ro': 'Lita !', 'en': 'Lita!'}"
"{'ro': 'Whoa!', 'en': '! Whoa!'}"
"{'ro': 'Whoa!', 'en': 'Whoa!'}"
"{'ro': 'Bună.', 'en': ', Hi.'}"
"{'ro': 'Bună.', 'en': 'Hi.'}"
"{'ro': 'Oh .', 'en': '; Oh.'}"
"{'ro': 'Oh .', 'en': 'Oh.'}"
"{'ro': 'Cu greu.', 'en': '. Hardly.'}"
"{'ro': 'Cu greu.', 'en': 'Hardly.'}"
"{'ro': 'Nu prea.', 'en': '; No.'}"
"{'ro': 'Nu prea.', 'en': 'No.'}"
"{'ro': 'Lisa.', 'en': '! Lisa.'}"
"{'ro': 'Lisa.', 'en': 'Lisa.'}"
"{'ro': 'Atenţie!', 'en': '. Attention!'}"
"{'ro': 'Atenţie!', 'en': 'Attention!'}"
"{'ro': '-Nu.', 'en': '! No.'}"
"{'ro': '-Nu.', 'en': 'No.'}"
"{'ro': 'Da.', 'en': ': Yep.'}"
"{'ro': 'Da.', 'en': 'Yep.'}"
"{'ro': 'Mişcaţi-vă!', 'en': '! Move!'}"
"{'ro': 'Mişcaţi-vă!', 'en': 'Move!'}"
"{'ro': 'Sigur.', 'en': ': Sure.'}"
"{'ro': 'Sigur.', 'en': 'Sure.'}"
"{'ro': 'Ham!', 'en': ', Woof!'}"
"{'ro': 'Ham!', 'en': 'Woof!'}"
"{'ro': 'Nu?', 'en': ': No?'}"
"{'ro': 'Nu?', 'en': 'No?'}"
"{'ro': 'Ascultă.', 'en': '; Listen.'}"
"{'ro': 'Ascultă.', 'en': 'Listen.'}"
"{'ro': 'Nu.', 'en': '. No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Împreună.', 'en': '. Together.'}"
"{'ro': 'Împreună.', 'en': 'Together.'}"
"{'ro': 'Bine.', 'en': '? Good.'}"
"{'ro': 'Bine.', 'en': 'Good.'}"
"{'ro': 'Doi.', 'en': '? Two.'}"
"{'ro': 'Doi.', 'en': 'Two.'}"
"{'ro': 'Bine.', 'en': '. Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Bună.', 'en': '. Hi.'}"
"{'ro': 'Bună.', 'en': 'Hi.'}"
"{'ro': 'Scuze.', 'en': ': Sorry.'}"
"{'ro': 'Scuze.', 'en': 'Sorry.'}"
"{'ro': 'Oribil.', 'en': '? Horrible.'}"
"{'ro': 'Oribil.', 'en': 'Horrible.'}"
"{'ro': 'Bine.', 'en': '. Fine.'}"
"{'ro': 'Bine.', 'en': 'Fine.'}"
"{'ro': 'ia-l de aici.', 'en': ': Enough.'}"
"{'ro': 'ia-l de aici.', 'en': 'Enough.'}"
"{'ro': 'Cu cine ?', 'en': '; Who?'}"
"{'ro': 'Cu cine ?', 'en': 'Who?'}"
"{'ro': 'Medic!', 'en': '! Corpsman!'}"
"{'ro': 'Medic!', 'en': 'Corpsman!'}"
"{'ro': 'SIGUR CA DA.', 'en': '; Sure.'}"
"{'ro': 'SIGUR CA DA.', 'en': 'Sure.'}"
"{'ro': 'Clar .', 'en': '? Clear.'}"
"{'ro': 'Clar .', 'en': 'Clear.'}"
"{'ro': 'Hei!', 'en': '! Hey!'}"
"{'ro': 'Hei!', 'en': 'Hey!'}"
"{'ro': 'Trage.', 'en': ': Pull.'}"
"{'ro': 'Trage.', 'en': 'Pull.'}"
"{'ro': 'Hmm.', 'en': ', Hmm.'}"
"{'ro': 'Hmm.', 'en': 'Hmm.'}"
"{'ro': 'Fife.', 'en': '; Fife.'}"
"{'ro': 'Fife.', 'en': 'Fife.'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Jackpot.', 'en': '; Jackpot.'}"
"{'ro': 'Jackpot.', 'en': 'Jackpot.'}"
"{'ro': 'Freddy?', 'en': ', Freddy?'}"
"{'ro': 'Freddy?', 'en': 'Freddy?'}"
"{'ro': 'Iartă-mă!', 'en': ', Sorry!'}"
"{'ro': 'Iartă-mă!', 'en': 'Sorry!'}"
"{'ro': 'Nu.', 'en': ': No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Poftim?', 'en': '! What?'}"
"{'ro': 'Poftim?', 'en': 'What?'}"
"{'ro': 'Sosire.', 'en': ', Arrived.'}"
"{'ro': 'Sosire.', 'en': 'Arrived.'}"
"{'ro': 'Bine.', 'en': '? Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'În Texas.', 'en': '! Texas.'}"
"{'ro': 'În Texas.', 'en': 'Texas.'}"
"{'ro': 'Te rog.', 'en': '. Please.'}"
"{'ro': 'Te rog.', 'en': 'Please.'}"
"{'ro': 'Nu-i aşa ?', 'en': ', Right?'}"
"{'ro': 'Nu-i aşa ?', 'en': 'Right?'}"
"{'ro': 'Da!', 'en': '. Yeah!'}"
"{'ro': 'Da!', 'en': 'Yeah!'}"
"{'ro': 'FUGI!', 'en': '? Run!'}"
"{'ro': 'FUGI!', 'en': 'Run!'}"
"{'ro': 'Magdalena.', 'en': ': Magdalena.'}"
"{'ro': 'Magdalena.', 'en': 'Magdalena.'}"
"{'ro': 'Sawatari!', 'en': '; Sawatari!'}"
"{'ro': 'Sawatari!', 'en': 'Sawatari!'}"
"{'ro': 'Înăuntru!', 'en': '. Inside.'}"
"{'ro': 'Înăuntru!', 'en': 'Inside.'}"
"{'ro': 'Aneska.', 'en': '! Annoucheka.'}"
"{'ro': 'Aneska.', 'en': 'Annoucheka.'}"
"{'ro': 'Simca (3)', 'en': 'Renault ? (3)'}"
"{'ro': 'Simca (3)', 'en': 'Renault (3)'}"
"{'ro': 'Salut', 'en': ', Hello.'}"
"{'ro': 'Salut', 'en': 'Hello.'}"
"{'ro': 'Intre timp ...', 'en': '? Meanwhile...'}"
"{'ro': 'Intre timp ...', 'en': 'Meanwhile...'}"
"{'ro': 'Funcţionează.', 'en': '? Work.'}"
"{'ro': 'Funcţionează.', 'en': 'Work.'}"
"{'ro': 'Bună.', 'en': '! Hey.'}"
"{'ro': 'Bună.', 'en': 'Hey.'}"
"{'ro': 'Ok ?', 'en': '; Okay?'}"
"{'ro': 'Ok ?', 'en': 'Okay?'}"
"{'ro': 'Dar...', 'en': ': But...'}"
"{'ro': 'Dar...', 'en': 'But...'}"
"{'ro': 'Exact. Da.', 'en': '! Exactly.'}"
"{'ro': 'Exact. Da.', 'en': 'Exactly.'}"
"{'ro': 'Dar imprevizibil.', 'en': '; Unpredictable.'}"
"{'ro': 'Dar imprevizibil.', 'en': 'Unpredictable.'}"
"{'ro': 'George!', 'en': ', George!'}"
"{'ro': 'George!', 'en': 'George!'}"
"{'ro': 'Pierduţi!', 'en': '. Lost!'}"
"{'ro': 'Pierduţi!', 'en': 'Lost!'}"
"{'ro': 'Regret.', 'en': ', Regret.'}"
"{'ro': 'Regret.', 'en': 'Regret.'}"
"{'ro': 'Ai grijă.', 'en': '? Careful.'}"
"{'ro': 'Ai grijă.', 'en': 'Careful.'}"
"{'ro': 'Poftim ?', 'en': '? What?'}"
"{'ro': 'Poftim ?', 'en': 'What?'}"
"{'ro': 'Alo!', 'en': ', Allo!'}"
"{'ro': 'Alo!', 'en': 'Allo!'}"
"{'ro': 'Christina.', 'en': '; Christina.'}"
"{'ro': 'Christina.', 'en': 'Christina.'}"
"{'ro': 'Minunat!', 'en': ', Great!'}"
"{'ro': 'Minunat!', 'en': 'Great!'}"
"{'ro': 'Whoo!', 'en': ': Whoo!'}"
"{'ro': 'Whoo!', 'en': 'Whoo!'}"
"{'ro': 'Nu!', 'en': '! No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Taci!', 'en': '? Quiet!'}"
"{'ro': 'Taci!', 'en': 'Quiet!'}"
"{'ro': 'Relaxează-te.', 'en': '! Relax.'}"
"{'ro': 'Relaxează-te.', 'en': 'Relax.'}"
"{'ro': '- Slavă Domnului. - Uită-te.', 'en': ': Look.'}"
"{'ro': '- Slavă Domnului. - Uită-te.', 'en': 'Look.'}"
"{'ro': 'Revedere.', 'en': '. Goodbye.'}"
"{'ro': 'Revedere.', 'en': 'Goodbye.'}"
"{'ro': '- Poftim?', 'en': '? What?'}"
"{'ro': '- Poftim?', 'en': 'What?'}"
"{'ro': 'Etichete: Fero,Cristi,Nova,iubesc,2015,Originala,', 'en': 'Etichete: . Last,Night,Big,World,Original,Radio,Edit,'}"
"{'ro': 'Etichete: Fero,Cristi,Nova,iubesc,2015,Originala,', 'en': 'Etichete: Last,Night,Big,World,Original,Radio,Edit,'}"
"{'ro': '- Receptie.', 'en': '; Copy.'}"
"{'ro': '- Receptie.', 'en': 'Copy.'}"
"{'ro': 'nu o văd!', 'en': ': Hurry!'}"
"{'ro': 'nu o văd!', 'en': 'Hurry!'}"
"{'ro': '-Ce?', 'en': '! What?'}"
"{'ro': '-Ce?', 'en': 'What?'}"
"{'ro': 'Hellerman?', 'en': ', Hellerman?'}"
"{'ro': 'Hellerman?', 'en': 'Hellerman?'}"
"{'ro': 'Mai ţii minte?', 'en': '? Remember?'}"
"{'ro': 'Mai ţii minte?', 'en': 'Remember?'}"
"{'ro': 'Wham!', 'en': '; Wham!'}"
"{'ro': 'Wham!', 'en': 'Wham!'}"
"{'ro': 'Ia uite.', 'en': '! Watch.'}"
"{'ro': 'Ia uite.', 'en': 'Watch.'}"
"{'ro': 'Susu...', 'en': '; Susu...'}"
"{'ro': 'Susu...', 'en': 'Susu...'}"
"{'ro': 'Inteles.', 'en': ': Understood.'}"
"{'ro': 'Inteles.', 'en': 'Understood.'}"
"{'ro': 'Te rog.', 'en': '! Please.'}"
"{'ro': 'Te rog.', 'en': 'Please.'}"
"{'ro': 'Eric?', 'en': '! Eric?'}"
"{'ro': 'Eric?', 'en': 'Eric?'}"
"{'ro': 'Pentru?', 'en': ', For?'}"
"{'ro': 'Pentru?', 'en': 'For?'}"
"{'ro': 'Zoya!', 'en': ', Zoya!'}"
"{'ro': 'Zoya!', 'en': 'Zoya!'}"
"{'ro': 'Nu.', 'en': '? No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': '- Nu?', 'en': ', No?'}"
"{'ro': '- Nu?', 'en': 'No?'}"
"{'ro': 'O!', 'en': '. Oh!'}"
"{'ro': 'O!', 'en': 'Oh!'}"
"{'ro': 'Bună.', 'en': ': Hi.'}"
"{'ro': 'Bună.', 'en': 'Hi.'}"
"{'ro': 'Pe Nora ?', 'en': '; Nora?'}"
"{'ro': 'Pe Nora ?', 'en': 'Nora?'}"
"{'ro': 'Uite.', 'en': '; Here.'}"
"{'ro': 'Uite.', 'en': 'Here.'}"
"{'ro': 'Nu. Serios .', 'en': '! Seriously.'}"
"{'ro': 'Nu. Serios .', 'en': 'Seriously.'}"
"{'ro': 'Fiule ?', 'en': '? Son?'}"
"{'ro': 'Fiule ?', 'en': 'Son?'}"
"{'ro': 'Bine.', 'en': '; Fine.'}"
"{'ro': 'Bine.', 'en': 'Fine.'}"
